District_Type;Municipality_Name;Area_Code;Population_Total;Pop_Age_0_15;Pop_Age_15_25;Pop_Age_25_45;Pop_Age_45_65;Pop_Age_65_Plus;Avg_Household_Size;Avg_Property_Value_1000EUR;Pct_Unoccupied_Homes;Pct_Owner_Occupied;Pct_Rental;Higher_Education_Count;Avg_Income_Per_Income_Recipient_1000EUR;Avg_Income_Per_Inhabitant_1000EUR;Avg_Std_Household_Income_1000EUR;Pct_Lowest_40Pct_Income;Pct_Highest_20Pct_Income;Pct_Low_Income_Households;Pct_Below_120Pct_Social_Min;Urbanization_Level
Amsterdam;Amsterdam;GM0363;872757;125119;108636;317667;210376;110959;1,8;416.0;6.0;29.0;70.0;338970.0;39,7;32,4;33,1;50,7;17,6;11,8;19,6;1.0
Burgwallen-Oude Zijde;Amsterdam;WK036300;4465;220;695;2190;940;425;1,4;469.0;19.0;18.0;80.0;2540.0;36,2;32,8;28,4;61,6;11;13,2;18,1;1.0
Kop Zeedijk;Amsterdam;BU03630000;1100;50;125;575;275;75;1,4;423.0;21.0;20.0;78.0;670.0;40,7;37;31,6;54,7;12,1;12,3;14,9;1.0
Oude Kerk e.o.;Amsterdam;BU03630001;730;30;130;370;130;70;1,3;440.0;22.0;12.0;86.0;290.0;34,7;31,5;26,6;68,5;9,5;16,4;23;1.0
Burgwallen Oost;Amsterdam;BU03630002;1615;90;255;780;310;175;1,4;466.0;15.0;17.0;83.0;890.0;32,4;29,2;26,3;63,8;9,3;13,9;20,1;1.0
Nes e.o.;Amsterdam;BU03630003;350;20;55;180;70;25;1,4;580.0;29.0;29.0;70.0;230.0;40,7;37,1;33,5;50,2;18,6;8,9;9,4;1.0
BG-terrein e.o.;Amsterdam;BU03630004;675;35;125;285;145;75;1,4;532.0;15.0;21.0;78.0;440.0;37,6;33,8;27,6;64,7;11;11,8;17,6;1.0
Burgwallen-Nieuwe Zijde;Amsterdam;WK036301;4130;195;615;2215;780;330;1,4;482.0;19.0;21.0;78.0;2340.0;41,6;38;33;55;14,3;10,5;15;1.0
Stationsplein e.o.;Amsterdam;BU03630100;0;0;0;0;0;0;1;;;;;;41,6;38;33;55;14,3;10,5;15;1.0
Hemelrijk;Amsterdam;BU03630101;575;25;85;315;115;40;1,4;441.0;16.0;28.0;70.0;330.0;42,4;39,3;33,1;53,4;13,7;9,4;12,7;1.0
Nieuwendijk Noord;Amsterdam;BU03630102;460;15;80;255;95;20;1,4;472.0;22.0;17.0;82.0;230.0;39,2;35,8;31,1;62,4;13,1;13,4;16;1.0
Spuistraat Noord;Amsterdam;BU03630103;825;35;110;450;160;70;1,4;489.0;16.0;27.0;72.0;420.0;40,6;37,1;33,6;52,8;15,4;9,9;14;1.0
Nieuwe Kerk e.o.;Amsterdam;BU03630104;820;50;130;460;135;45;1,5;458.0;17.0;23.0;76.0;450.0;40;36;33,2;52,9;14,8;8,4;11,8;1.0
Spuistraat Zuid;Amsterdam;BU03630105;725;40;90;370;155;65;1,4;471.0;21.0;16.0;84.0;440.0;46,3;41,6;35,4;53,5;14,8;13;18,8;1.0
Begijnhofbuurt;Amsterdam;BU03630106;415;10;50;205;80;70;1,3;500.0;21.0;11.0;88.0;290.0;36,3;34,5;27,6;64,6;8;10,9;20,7;1.0
Kalverdriehoek;Amsterdam;BU03630107;310;10;70;165;45;20;1,4;616.0;27.0;24.0;76.0;160.0;47,4;43,1;35,3;47,1;21,1;9;10,8;1.0
Grachtengordel-West;Amsterdam;WK036302;6435;465;870;2265;1745;1100;1,6;814.0;22.0;44.0;55.0;3240.0;73,5;62,6;62,8;38,9;30,7;7,8;10;1.0
Langestraat e.o.;Amsterdam;BU03630200;1870;170;195;595;510;390;1,6;811.0;19.0;50.0;48.0;1040.0;63,8;53,6;54,3;37,1;30,3;7,7;10;1.0
