"District_Type";"Municipality_Name";"Area_Code";"Population_Total";"Pop_Age_0_15";"Pop_Age_15_25";"Pop_Age_25_45";"Pop_Age_45_65";"Pop_Age_65_Plus";"Avg_Household_Size";"Avg_Property_Value_1000EUR";"Pct_Unoccupied_Homes";"Pct_Owner_Occupied";"Pct_Rental";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min";"Urbanization_Level"
"Zuidas-Noord";"Amsterdam                               ";"BU0363KP01";565;65;25;375;75;20;1,5;839;4;29;71;;;;;;;;;1
"RAI";"Amsterdam                               ";"BU0363KP02";10;0;5;0;0;0;1;;;;;;;;;;;;;1
"VU-kwartier";"Amsterdam                               ";"BU0363KP03";175;20;15;105;30;5;1,3;622;3;46;54;;;;;;;;;1
"Zuidas-Zuid";"Amsterdam                               ";"BU0363KP04";2650;345;175;1535;470;125;1,7;788;14;24;76;;;;;;;;;1
"Vivaldi";"Amsterdam                               ";"BU0363KP05";1855;135;590;845;225;65;1,2;315;7;6;94;;;;;;;;;1
"Buitenveldert-West";"Amsterdam                               ";"WK0363KQ  ";14410;1860;1650;4855;2965;3080;1,7;537;6;39;61;;;;;;;;;1
"Amsterdamse Bos";"Amsterdam                               ";"BU0363KQ01";65;10;5;20;15;20;1,8;;55;45;55;;;;;;;;;4
"Zuiderhof";"Amsterdam                               ";"BU0363KQ02";40;0;15;20;0;0;1,1;;;;;;;;;;;;;2
"Buitenveldert-West-Midden";"Amsterdam                               ";"BU0363KQ03";1010;140;115;185;265;310;1,9;943;6;53;47;;;;;;;;;1
"Gelderlandpleinbuurt";"Amsterdam                               ";"BU0363KQ04";4810;520;580;1760;880;1070;1,6;477;5;35;65;;;;;;;;;1
"Buitenveldert-Zuidwest";"Amsterdam                               ";"BU0363KQ05";4505;615;385;1325;985;1200;1,7;553;6;35;65;;;;;;;;;1
"Buitenveldert-Zuid-Midden";"Amsterdam                               ";"BU0363KQ06";3970;580;550;1545;815;480;1,8;494;8;45;55;;;;;;;;;1
"Buitenveldert-Oost";"Amsterdam                               ";"WK0363KR  ";8240;1105;815;2875;1585;1865;1,7;493;5;32;67;;;;;;;;;1
"De Klenckebuurt";"Amsterdam                               ";"BU0363KR01";840;105;35;285;135;290;1,7;572;6;35;65;;;;;;;;;1
"Buitenveldert-Oost-Midden";"Amsterdam                               ";"BU0363KR02";3400;480;280;1180;655;805;1,7;444;4;24;75;;;;;;;;;1
"Buitenveldert-Zuidoost";"Amsterdam                               ";"BU0363KR03";3980;520;495;1405;800;765;1,7;518;6;39;61;;;;;;;;;1
"Amstelpark";"Amsterdam                               ";"BU0363KR04";15;5;0;5;5;5;2,2;;;;;;;;;;;;;2
