BUURTCODE_2015,BUURTCODE_CBS_2015,BUURTNAAM_2015,BUURTCODE_2022,BUURTCODE_CBS_2022,BUURTNAAM_2022,WIJKCODE_2022,WIJKNAAM_2022,STADSDEELCODE,STADSDEELNAAM,latitude,longitude,geometrie
A00a,BU03630000,Kop Zeedijk,AE01,BU0363AE01,Kop Zeedijk,AE,Burgwallen-Oude Zijde,A,Centrum,52.37592923315652,4.900262005689889,"SRID=28992;POLYGON ((121978.387 487695.921, 121908.361 487477.41, 121862.235 487503.166, 121854.979 487504.962, 121841.076 487512.578, 121836.051 487513.129, 121799.802 487534.283, 121782.088 487542.257, 121770.331 487546.797, 121686.76 487597.282, 121679.133 487588.652, 121624.24 487627.482, 121765.686 487789.662, 121803.466 487826.305, 121890.334 487818.897, 121957.842 487818.675, 121991.303 487807.034, 122026.815 487756.566, 122045.505 487745.336, 121978.387 487695.921))"
A00b,BU03630001,Oude Kerk e.o.,AE02,BU0363AE02,Oude Kerk e.o.,AE,Burgwallen-Oude Zijde,A,Centrum,52.37379113432296,4.896141981893308,"SRID=28992;POLYGON ((121755.15 487500.761, 121735.158 487472.162, 121606.903 487312.599, 121539.554 487222.451, 121467.922 487260.667, 121401.093 487298.637, 121345.067 487317.97, 121365.082 487372.785, 121383.373 487404.737, 121438.225 487468.721, 121583.159 487656.542, 121624.24 487627.482, 121679.133 487588.652, 121686.76 487597.282, 121770.331 487546.797, 121782.088 487542.257, 121755.15 487500.761))"
A00c,BU03630002,Burgwallen Oost,AE03,BU0363AE03,Burgwallen-Oost,AE,Burgwallen-Oude Zijde,A,Centrum,52.37281724575043,4.898735893551947,"SRID=28992;POLYGON ((121869.478 487349.071, 121858.841 487352.093, 121846.39 487351.126, 121838.05 487348.225, 121832.489 487343.753, 121827.896 487337.346, 121799.368 487274.248, 121798.039 487266.995, 121810.93 487261.094, 121772.194 487189.407, 121734.944 487124.933, 121620.093 487175, 121539.554 487222.451, 121606.903 487312.599, 121735.158 487472.162, 121755.15 487500.761, 121782.088 487542.257, 121799.802 487534.283, 121836.051 487513.129, 121841.076 487512.578, 121854.979 487504.962, 121862.235 487503.166, 121908.361 487477.41, 121885.329 487401.961, 121869.478 487349.071))"
A00d,BU03630003,Nes e.o.,AE04,BU0363AE04,Nes e.o.,AE,Burgwallen-Oude Zijde,A,Centrum,52.37085943181532,4.893709562162045,"SRID=28992;POLYGON ((121493.343 487160.37, 121476.514 487132.845, 121467.33 487115.925, 121462.344 487100.835, 121427.729 486930.643, 121387.057 486929.406, 121376.522 486925.047, 121300.154 486914.837, 121274.417 486911.719, 121276.925 486929.415, 121306.383 487044.42, 121311.178 487066.942, 121330.017 487183.147, 121332.843 487212.605, 121336.012 487280.854, 121338.838 487302.092, 121342.603 487318.149, 121345.067 487317.97, 121401.093 487298.637, 121467.922 487260.667, 121539.554 487222.451, 121493.343 487160.37))"
A00e,BU03630004,BG-terrein e.o.,AE05,BU0363AE05,BG-terrein e.o.,AE,Burgwallen-Oude Zijde,A,Centrum,52.36953972729665,4.895578256847466,"SRID=28992;POLYGON ((121570.358 486848.056, 121561.071 486825.241, 121530.353 486772.016, 121508.898 486737.271, 121501.871 486729.117, 121494.772 486722.925, 121480.023 486718.867, 121464.917 486716.449, 121430.313 486714.412, 121418.374 486714.615, 121333.629 486831.236, 121303.056 486901.772, 121300.154 486914.837, 121376.522 486925.047, 121387.057 486929.406, 121427.729 486930.643, 121462.344 487100.835, 121467.33 487115.925, 121476.514 487132.845, 121493.343 487160.37, 121539.554 487222.451, 121620.093 487175, 121734.944 487124.933, 121570.358 486848.056))"
A01a,BU03630100,Stationsplein e.o.,AD01,BU0363AD01,Stationsplein e.o.,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37965036061024,4.900717578470607,"SRID=28992;POLYGON ((122116.843 487894.361, 122065.791 487810.091, 122045.505 487745.336, 122026.815 487756.566, 121991.303 487807.034, 121957.842 487818.675, 121890.334 487818.897, 121803.466 487826.305, 121747.659 487875.441, 121734.248 487905.726, 121727.121 487918.014, 121719.025 487929.686, 121693.42 487960.834, 121684.49 487969.068, 121669.763 487980.186, 121657.239 487989.479, 121517.787 488112.276, 121541.049 488144.162, 121599.63 488245.738, 121745.144 488457.275, 121792.93 488403.082, 121832.176 488366.036, 121853.001 488346.377, 121908.281 488299.646, 121970.138 488258.368, 121981.428 488250.834, 122049.267 488210.959, 122120.496 488175.947, 122199.444 488146.487, 122235.462 488135.418, 122262.93 488127.922, 122116.843 487894.361))"
A01b,BU03630101,Hemelrijk,AD02,BU0363AD02,Hemelrijk,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37814474293715,4.8949125227031,"SRID=28992;POLYGON ((121613.526 487905.297, 121549.296 487882.391, 121542.195 487878.624, 121535.213 487873.583, 121529.404 487868.028, 121523.953 487861.214, 121490.974 487811.037, 121481.468 487799.225, 121468.412 487785.563, 121444.242 487765.884, 121429.006 487751.656, 121285.104 487799.643, 121411.065 487983.95, 121417.25 487991.741, 121440.423 488020.934, 121498.971 488086.629, 121517.787 488112.276, 121657.239 487989.479, 121669.763 487980.186, 121613.526 487905.297))"
A01c,BU03630102,Nieuwendijk-Noord,AD03,BU0363AD03,Nieuwendijk-Noord,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37700006421899,4.896955839671074,"SRID=28992;POLYGON ((121765.686 487789.662, 121624.24 487627.482, 121583.159 487656.542, 121569.063 487662.725, 121530.847 487687.118, 121525.482 487696.056, 121515.289 487700.607, 121506.433 487703.463, 121489.953 487706.364, 121386.644 487708.78, 121429.006 487751.656, 121444.242 487765.884, 121468.412 487785.563, 121481.468 487799.225, 121490.974 487811.037, 121523.953 487861.214, 121529.404 487868.028, 121535.213 487873.583, 121542.195 487878.624, 121549.296 487882.391, 121613.526 487905.297, 121669.763 487980.186, 121684.49 487969.068, 121693.42 487960.834, 121719.025 487929.686, 121727.121 487918.014, 121734.248 487905.726, 121747.659 487875.441, 121803.466 487826.305, 121765.686 487789.662))"
A01d,BU03630103,Spuistraat-Noord,AD04,BU0363AD04,Spuistraat-Noord,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37513981984903,4.8911874301193565,"SRID=28992;POLYGON ((121308.973 487624.426, 121282.839 487594.949, 121273.509 487581.904, 121261.278 487559.698, 121233.417 487512.919, 121204.906 487461.82, 121200.883 487450.88, 121184.814 487395.298, 121180.518 487371.117, 121062.5 487381.508, 121066.249 487401.458, 121090.828 487498.022, 121093.908 487515.044, 121119.378 487554.701, 121223.065 487706.594, 121232.3 487721.305, 121285.104 487799.643, 121429.006 487751.656, 121386.644 487708.78, 121308.973 487624.426))"
A01e,BU03630104,Nieuwe Kerk e.o.,AD05,BU0363AD05,Nieuwe Kerk e.o.,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.374510977656186,4.893213130342648,"SRID=28992;POLYGON ((121438.225 487468.721, 121383.373 487404.737, 121365.082 487372.785, 121345.067 487317.97, 121342.603 487318.149, 121284.83 487322.353, 121259.342 487320.585, 121233.337 487320.058, 121181.182 487312.011, 121179.256 487345.803, 121180.518 487371.117, 121184.814 487395.298, 121200.883 487450.88, 121204.906 487461.82, 121233.417 487512.919, 121261.278 487559.698, 121273.509 487581.904, 121282.839 487594.949, 121308.973 487624.426, 121386.644 487708.78, 121489.953 487706.364, 121506.433 487703.463, 121515.289 487700.607, 121525.482 487696.056, 121530.847 487687.118, 121569.063 487662.725, 121583.159 487656.542, 121438.225 487468.721))"
A01f,BU03630105,Spuistraat-Zuid,AD06,BU0363AD06,Spuistraat-Zuid,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.3709958559341,4.889215457213925,"SRID=28992;POLYGON ((121183.677 487268.332, 121185.447 487200.874, 121184.848 487188.178, 121182.856 487176.139, 121179.5 487164.407, 121160.312 487111.27, 121152.07 487094.709, 121142.589 487079.461, 121118.176 487028.769, 121104.353 486986.232, 121093.389 486946.164, 121089.633 486896.995, 121086.227 486885.482, 121081.77 486874.334, 121075.887 486862.931, 121069.967 486853.661, 121037.134 486810.831, 121004.68 486852.117, 120990.653 486877.485, 120989.888 486881.763, 120989.112 486886.109, 121010.554 487052.617, 121038.176 487277.515, 121056.237 487356.819, 121060.131 487368.904, 121062.5 487381.508, 121180.518 487371.117, 121179.256 487345.803, 121181.182 487312.011, 121183.677 487268.332))"
A01g,BU03630106,Begijnhofbuurt,AD07,BU0363AD07,Begijnhofbuurt,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37070511411091,4.891276499821561,"SRID=28992;POLYGON ((121338.838 487302.092, 121336.012 487280.854, 121332.843 487212.605, 121330.017 487183.147, 121311.178 487066.942, 121306.383 487044.42, 121276.925 486929.415, 121274.417 486911.719, 121232.55 486907.491, 121219.967 486905.554, 121214.984 486904.502, 121202.959 486897.114, 121168.99 486888.139, 121151.985 486891.588, 121120.372 486883.189, 121081.77 486874.334, 121086.227 486885.482, 121089.633 486896.995, 121093.389 486946.164, 121104.353 486986.232, 121118.176 487028.769, 121142.589 487079.461, 121152.07 487094.709, 121160.312 487111.27, 121179.5 487164.407, 121182.856 487176.139, 121184.848 487188.178, 121185.447 487200.874, 121183.677 487268.332, 121181.182 487312.011, 121233.337 487320.058, 121259.342 487320.585, 121284.83 487322.353, 121342.603 487318.149, 121338.838 487302.092))"
A01h,BU03630107,Kalverdriehoek,AD08,BU0363AD08,Kalverdriehoek,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.36791877438155,4.891302660479037,"SRID=28992;POLYGON ((121303.056 486901.772, 121333.629 486831.236, 121418.374 486714.615, 121400.228 486714.925, 121395.144 486712.197, 121371.771 486687.51, 121364.267 486679.583, 121359.691 486676.578, 121350.308 486672.72, 121322.858 486672.12, 121254.361 486674.218, 121214.661 486680.567, 121142.586 486699.984, 121111.429 486716.317, 121037.134 486810.831, 121069.967 486853.661, 121075.887 486862.931, 121081.77 486874.334, 121120.372 486883.189, 121151.985 486891.588, 121168.99 486888.139, 121202.959 486897.114, 121214.984 486904.502, 121219.967 486905.554, 121232.55 486907.491, 121274.417 486911.719, 121300.154 486914.837, 121303.056 486901.772))"
A02a,BU03630200,Langestraat e.o.,AC01,BU0363AC01,Langestraat e.o.,AC,Grachtengordel-West,A,Centrum,52.37836700193503,4.889990144249147,"SRID=28992;POLYGON ((121135.023 488101.044, 121154.442 488089.835, 121161.525 488086.16, 121262.114 488048.853, 121281.787 488048.179, 121384.833 488011.827, 121395.615 488006.91, 121417.25 487991.741, 121411.065 487983.95, 121285.104 487799.643, 121232.3 487721.305, 121136.44 487785.925, 121112.151 487792.316, 120885.807 487920.05, 120949.374 488031.579, 121020.851 488155.808, 121039.514 488189.627, 121135.023 488101.044))"
A02b,BU03630201,Leliegracht e.o.,AC02,BU0363AC02,Leliegracht e.o.,AC,Grachtengordel-West,A,Centrum,52.37551926689763,4.887076813672483,"SRID=28992;POLYGON ((121223.065 487706.594, 121119.378 487554.701, 121093.908 487515.044, 121090.828 487498.022, 121066.249 487401.458, 121062.5 487381.508, 120929.874 487400.177, 120913.117 487404.325, 120900.118 487410.005, 120888.629 487417.228, 120857.104 487445.561, 120848.675 487452.054, 120838.487 487458.048, 120827.044 487462.852, 120811.248 487465.296, 120690.625 487473.619, 120668.992 487465.601, 120673.947 487542.058, 120675.483 487550.142, 120787.443 487747.212, 120885.807 487920.05, 121112.151 487792.316, 121136.44 487785.925, 121232.3 487721.305, 121223.065 487706.594))"
A02c,BU03630202,Felix Meritisbuurt,AC03,BU0363AC03,Felix Meritisbuurt,AC,Grachtengordel-West,A,Centrum,52.371324820339325,4.88548905768438,"SRID=28992;POLYGON ((121060.131 487368.904, 121056.237 487356.819, 121038.176 487277.515, 121010.554 487052.617, 120989.112 486886.109, 120989.888 486881.763, 120978.949 486880.847, 120951.712 486881.694, 120907.047 486885.388, 120756.465 486894.249, 120634.142 486902.804, 120668.992 487465.601, 120690.625 487473.619, 120811.248 487465.296, 120827.044 487462.852, 120838.487 487458.048, 120848.675 487452.054, 120857.104 487445.561, 120888.629 487417.228, 120900.118 487410.005, 120913.117 487404.325, 120929.874 487400.177, 121062.5 487381.508, 121060.131 487368.904))"
A02d,BU03630203,Leidsegracht-Noord,AC04,BU0363AC04,Leidsegracht-Noord,AC,Grachtengordel-West,A,Centrum,52.36784173095913,4.884542973222417,"SRID=28992;POLYGON ((120981.404 486840.395, 120911.911 486801.745, 120909.031 486746.779, 120854.933 486713.743, 120806.442 486687.976, 120763.42 486662.956, 120644.532 486596.234, 120640.753 486603.864, 120627.837 486641.034, 120620.025 486650.699, 120619.522 486659.471, 120633.238 486883.27, 120634.142 486902.804, 120756.465 486894.249, 120907.047 486885.388, 120951.712 486881.694, 120978.949 486880.847, 120989.888 486881.763, 120990.653 486877.485, 121004.68 486852.117, 120981.404 486840.395))"
A03a,BU03630300,Spiegelbuurt,AG04,BU0363AG04,Spiegelbuurt,AG,Grachtengordel-Zuid,A,Centrum,52.36489167246688,4.887690834541,"SRID=28992;POLYGON ((121138.044 486456.576, 121095.626 486380.619, 120998.55 486206.112, 120994.032 486208.491, 120987.733 486215.213, 120776.709 486446.396, 120764.36 486458.239, 120757.415 486467.356, 120993.674 486647.422, 121017.591 486660.703, 121026.379 486650.938, 121157.935 486527.484, 121170.641 486517.198, 121138.044 486456.576))"
A03d,BU03630303,Amstelveldbuurt,AG06,BU0363AG06,Amstelveldbuurt,AG,Grachtengordel-Zuid,A,Centrum,52.36368079238181,4.89901017371735,"SRID=28992;POLYGON ((121921.422 486474.603, 122002.289 486211.757, 121575.518 486088.04, 121563.767 486085.174, 121546.267 486082.954, 121534.048 486431.859, 121604.649 486454.976, 121647.603 486468.129, 121898.755 486543.41, 121921.422 486474.603))"
A04a,BU03630400,Oosterdokseiland,AF01,BU0363AF01,Oosterdokseiland,AF,Nieuwmarkt/Lastage,A,Centrum,52.37722819471021,4.907914295551175,"SRID=28992;POLYGON ((122556.923 487863.58, 122597.608 487558.248, 122566.103 487553.765, 122474.008 487450.744, 122452.74 487464.41, 122175.863 487666.17, 122115.294 487703.404, 122045.505 487745.336, 122065.791 487810.091, 122116.843 487894.361, 122262.93 488127.922, 122271.166 488125.514, 122345.391 488109.977, 122417.718 488106.353, 122547.724 488111.914, 122584.503 487858.28, 122556.923 487863.58))"
A04b,BU03630401,Scheepvaarthuisbuurt,AF03,BU0363AF03,Scheepvaarthuisbuurt,AF,Nieuwmarkt/Lastage,A,Centrum,52.37407749286871,4.905942998089436,"SRID=28992;POLYGON ((122356.991 487319.844, 122311.226 487282.626, 122254.366 487241.735, 122219.529 487270.652, 122070.333 487408.807, 122063.204 487417.875, 122056.644 487429.621, 122038.72 487476.741, 122035.328 487495.204, 122035.621 487511.301, 122049.079 487574.452, 122082.191 487614.333, 122115.294 487703.404, 122175.863 487666.17, 122452.74 487464.41, 122474.008 487450.744, 122356.991 487319.844))"
A04c,BU03630402,Rapenburg,AF04,BU0363AF04,Rapenburg,AF,Nieuwmarkt/Lastage,A,Centrum,52.37247192891781,4.9107089681087706,"SRID=28992;POLYGON ((122689.181 487571.28, 122712.237 487510.973, 122725.295 487469.187, 122735.206 487427.589, 122742.258 487385.413, 122746.42 487342.854, 122747.666 487299.092, 122745.933 487256.366, 122741.147 487212.848, 122733.552 487170.766, 122576.77 487004.994, 122553.908 487026.474, 122534.755 487032.856, 122476.557 487088.568, 122442.703 487052.397, 122385.545 487104.53, 122318.86 487181.419, 122274.939 487224.66, 122254.366 487241.735, 122311.226 487282.626, 122356.991 487319.844, 122474.008 487450.744, 122566.103 487553.765, 122597.608 487558.248, 122689.181 487571.28))"
A04d,BU03630403,Lastage,AF02,BU0363AF02,Lastage,AF,Nieuwmarkt/Lastage,A,Centrum,52.37385521196474,4.903224679611201,"SRID=28992;POLYGON ((122082.191 487614.333, 122049.079 487574.452, 122035.621 487511.301, 122035.328 487495.204, 122038.72 487476.741, 122056.644 487429.621, 122063.204 487417.875, 122070.333 487408.807, 122219.529 487270.652, 122254.366 487241.735, 122215.043 487213.744, 122147.833 487168.914, 122108.922 487207.655, 121913.751 487387.945, 121885.329 487401.961, 121908.361 487477.41, 121978.387 487695.921, 122045.505 487745.336, 122115.294 487703.404, 122082.191 487614.333))"
A04e,BU03630404,Nieuwmarkt,AF05,BU0363AF05,Nieuwmarkt,AF,Nieuwmarkt/Lastage,A,Centrum,52.37162860472236,4.901901313580841,"SRID=28992;POLYGON ((121913.751 487387.945, 122108.922 487207.655, 122147.833 487168.914, 121965.815 487043.994, 121930.301 487009.155, 121895.049 486971.035, 121880.627 486981.13, 121872.403 486999.575, 121866.082 487026.487, 121850.006 487219.361, 121850.424 487235.09, 121852.359 487245.79, 121810.93 487261.094, 121798.039 487266.995, 121799.368 487274.248, 121827.896 487337.346, 121832.489 487343.753, 121838.05 487348.225, 121846.39 487351.126, 121858.841 487352.093, 121869.478 487349.071, 121885.329 487401.961, 121913.751 487387.945))"
A04f,BU03630405,Uilenburg,AF06,BU0363AF06,Uilenburg,AF,Nieuwmarkt/Lastage,A,Centrum,52.370197859390416,4.905123312043236,"SRID=28992;POLYGON ((122412.146 487027.819, 122378.781 487017.754, 122088.104 486839.037, 122071.008 486849.348, 121997.04 486899.649, 121895.049 486971.035, 121930.301 487009.155, 121965.815 487043.994, 122147.833 487168.914, 122215.043 487213.744, 122254.366 487241.735, 122274.939 487224.66, 122318.86 487181.419, 122385.545 487104.53, 122442.703 487052.397, 122412.146 487027.819))"
A04g,BU03630406,Valkenburg,AF07,BU0363AF07,Valkenburg,AF,Nieuwmarkt/Lastage,A,Centrum,52.36896843481865,4.907676027513406,"SRID=28992;POLYGON ((122502.143 486932.882, 122477.896 486905.567, 122300.92 486714.694, 122184.24 486781.053, 122088.104 486839.037, 122378.781 487017.754, 122412.146 487027.819, 122442.703 487052.397, 122476.557 487088.568, 122534.755 487032.856, 122553.908 487026.474, 122576.77 487004.994, 122546.485 486975.377, 122502.143 486932.882))"
A04h,BU03630407,Zuiderkerkbuurt,AF08,BU0363AF08,Zuiderkerkbuurt,AF,Nieuwmarkt/Lastage,A,Centrum,52.36938762654404,4.898631619083015,"SRID=28992;POLYGON ((121887.498 486962.837, 121883.128 486960.222, 121862.202 486934.908, 121839.241 486922.095, 121830.278 486910.708, 121824.127 486906.59, 121748.425 486795.175, 121729.143 486773.676, 121697.24 486716.206, 121629.797 486728.698, 121621.448 486728.777, 121549.872 486723.73, 121494.772 486722.925, 121501.871 486729.117, 121508.898 486737.271, 121530.353 486772.016, 121561.071 486825.241, 121570.358 486848.056, 121734.944 487124.933, 121772.194 487189.407, 121810.93 487261.094, 121852.359 487245.79, 121850.424 487235.09, 121850.006 487219.361, 121866.082 487026.487, 121872.403 486999.575, 121880.627 486981.13, 121895.049 486971.035, 121887.498 486962.837))"
A04i,BU03630408,Waterloopleinbuurt,AF09,BU0363AF09,Waterloopleinbuurt,AF,Nieuwmarkt/Lastage,A,Centrum,52.3675778557726,4.902378537735323,"SRID=28992;POLYGON ((122184.24 486781.053, 122300.92 486714.694, 122262.589 486675.12, 122250.568 486664.485, 122233.127 486650.839, 122227.619 486646.534, 122199.982 486634.239, 121940.889 486555.442, 121898.755 486543.41, 121867.69 486637.707, 121768.154 486699.274, 121734.88 486709.582, 121697.24 486716.206, 121729.143 486773.676, 121748.425 486795.175, 121824.127 486906.59, 121830.278 486910.708, 121839.241 486922.095, 121862.202 486934.908, 121883.128 486960.222, 121887.498 486962.837, 121895.049 486971.035, 121997.04 486899.649, 122071.008 486849.348, 122088.104 486839.037, 122184.24 486781.053))"
A05a,BU03630500,Westerdokseiland,AA03,BU0363AA03,Westerdokseiland,AA,Haarlemmerbuurt,A,Centrum,52.384371809447046,4.894025231419676,"SRID=28992;POLYGON ((121536.251 488898.477, 121550.576 488836.006, 121575.174 488756.516, 121609.805 488671.464, 121646.637 488602.714, 121687.288 488536.17, 121737.82 488465.58, 121745.144 488457.275, 121599.63 488245.738, 121541.049 488144.162, 121476.163 488186.867, 121477.01 488188.35, 121466.629 488193.547, 121467.85 488195.42, 121453.04 488204.82, 121451.579 488202.579, 121276.01 488308.95, 121248.99 488326.28, 121190.91 488371.014, 121190.586 488372.976, 121160.037 488397.285, 121198.918 488464.018, 121191.873 488491.683, 121231.716 488996.037, 121224.491 489051.322, 121221.108 489069.59, 121293.336 489076.379, 121302.524 489041.223, 121309.016 489042.967, 121308.518 489044.706, 121309.55 489059.787, 121313.21 489078.247, 121498.253 489095.639, 121536.251 488898.477))"
A05b,BU03630501,Haarlemmerbuurt Oost,AA06,BU0363AA06,Haarlemmerbuurt-Oost,AA,Haarlemmerbuurt,A,Centrum,52.38042738885012,4.891913689651003,"SRID=28992;POLYGON ((121190.586 488372.976, 121190.91 488371.014, 121248.99 488326.28, 121276.01 488308.95, 121451.579 488202.579, 121453.04 488204.82, 121467.85 488195.42, 121466.629 488193.547, 121477.01 488188.35, 121476.163 488186.867, 121541.049 488144.162, 121517.787 488112.276, 121498.971 488086.629, 121440.423 488020.934, 121417.25 487991.741, 121395.615 488006.91, 121384.833 488011.827, 121281.787 488048.179, 121262.114 488048.853, 121161.525 488086.16, 121154.442 488089.835, 121135.023 488101.044, 121039.514 488189.627, 121140.967 488368.127, 121158.011 488393.808, 121160.037 488397.285, 121190.586 488372.976))"
A05c,BU03630502,Haarlemmerbuurt West,AA05,BU0363AA05,Haarlemmerbuurt-West,AA,Haarlemmerbuurt,A,Centrum,52.38302350189665,4.886304866209077,"SRID=28992;POLYGON ((120785.502 488711.869, 120811.426 488690.526, 120997.111 488518.548, 121022.117 488496.605, 121047.447 488476.471, 121105.943 488433.786, 121158.011 488393.808, 121140.967 488368.127, 121039.514 488189.627, 121014.729 488212.721, 120676.24 488525.773, 120669.391 488540.505, 120667.493 488546.071, 120645.398 488567.542, 120648.358 488571.812, 120660.281 488594.25, 120673.951 488626.91, 120708.024 488685.244, 120736.458 488746.38, 120785.502 488711.869))"
A05d,BU03630503,Westelijke Eilanden,AA02,BU0363AA02,Westelijke eilanden,AA,Haarlemmerbuurt,A,Centrum,52.38583908537549,4.888192777278388,"SRID=28992;POLYGON ((121224.491 489051.322, 121231.716 488996.037, 121191.873 488491.683, 121198.918 488464.018, 121160.037 488397.285, 121158.011 488393.808, 121105.943 488433.786, 121047.447 488476.471, 121022.117 488496.605, 120997.111 488518.548, 120811.426 488690.526, 120785.502 488711.869, 120736.458 488746.38, 120746.718 488764.289, 120764.684 488796.642, 120858.957 489023.236, 120862.566 489041.647, 120877.921 489037.333, 121221.108 489069.59, 121224.491 489051.322))"
F78b,BU03637801,Buurt 7,FB05,BU0363FB05,Van Tijenbuurt,FB,Geuzenveld,F,Nieuw-West,52.37612978487341,4.796280971649353,"SRID=28992;POLYGON ((114880.246 487978.206, 114880.129 487913.86, 114878.734 487898.905, 114872.497 487861.905, 114842.715 487692.273, 115112.439 487646.325, 115135.099 487642.465, 115099.097 487404.051, 114597.002 487488.961, 114535.465 487489.917, 114517.095 487515.372, 114477.458 487607.543, 114435.386 487704.475, 114433.213 487712.341, 114432.696 487721.074, 114433.573 487728.251, 114435.341 487734.476, 114440.525 487744.377, 114446.023 487750.762, 114553.408 487852.921, 114570.683 487863.292, 114580.477 487874.934, 114585.925 487885.981, 114588.245 487894.526, 114604.008 487984.867, 114638.801 488192.27, 114876.861 488195.882, 114880.246 487978.206))"
F78d,BU03637803,Buurt 9,FB03,BU0363FB03,Ruys de Beerenbrouckbuurt,FB,Geuzenveld,F,Nieuw-West,52.38233559839451,4.800979482116139,"SRID=28992;POLYGON ((115506.987 488562.639, 115504.277 488535.386, 115504.891 488504.989, 115513.808 488462.942, 115561.473 488476.098, 115568.615 488450.749, 115573.408 488210.352, 115136.035 488201.266, 114876.861 488195.882, 114638.801 488192.27, 114628.371 488674.554, 115153.957 488680.008, 115504.523 488684.683, 115506.987 488562.639))"
F78e,BU03637804,Eendrachtspark,FB04,BU0363FB04,Eendrachtspark,FB,Geuzenveld,F,Nieuw-West,52.38265203010413,4.809818650257521,"SRID=28992;POLYGON ((115846.797 488232.772, 115705.72 488230.645, 115656.918 488212.58, 115573.408 488210.352, 115568.615 488450.749, 115561.473 488476.098, 115513.808 488462.942, 115504.891 488504.989, 115504.277 488535.386, 115506.987 488562.639, 115504.523 488684.683, 115839.44 488688.08, 115846.797 488232.772))"
F79a,BU03637900,Osdorper Binnenpolder,FB01,BU0363FB01,Osdorper Binnenpolder,FB,Geuzenveld,F,Nieuw-West,52.37882931841581,4.776923714822618,"SRID=28992;POLYGON ((114167.391 487978.686, 114476.685 487979.783, 114478.735 488006.36, 114604.008 487984.867, 114588.245 487894.526, 114585.925 487885.981, 114580.477 487874.934, 114570.683 487863.292, 114553.408 487852.921, 114446.023 487750.762, 114440.525 487744.377, 114435.341 487734.476, 114433.573 487728.251, 114432.696 487721.074, 114433.213 487712.341, 114435.386 487704.475, 114477.458 487607.543, 114438.457 487590.771, 114410.32 487624.656, 114362.108 487662.909, 114335.492 487692.316, 114280.387 487737.648, 114241.664 487692.571, 114108.08 487527.729, 113961.978 487342.505, 113852.949 487205.844, 113723.457 487052.676, 113709.719 487034.628, 113690.945 487045.059, 113571.832 487164.515, 113378.231 487346.273, 113370.508 487360.004, 113323.481 487406.001, 112956.506 487756.958, 112895.683 487832.189, 112835.359 487876.959, 112757.61 487948.015, 112681.921 488027.48, 112651.838 488062.433, 112606.059 488108.319, 112547.537 488148.139, 112492.267 488187.613, 112441.052 488228.55, 112307.327 488354.5, 112304.291 488355.728, 112301.022 488355.937, 112297.854 488355.108, 112295.108 488353.323, 112241.045 488296.235, 112232.693 488304.895, 112232.445 488323.62, 112232.215 488340.467, 112232.165 488344.204, 112232.128 488346.919, 112231.72 488369.556, 112231.713 488373.068, 112231.692 488386.323, 112231.406 488399.894, 112231.139 488413.659, 112231.045 488422.258, 112231.026 488423.981, 112230.105 488508, 112229.941 488525.675, 112229.918 488528.199, 112229.894 488530.79, 112229.471 488574.352, 112229.408 488580.824, 112229.119 488607.872, 112229.113 488608.431, 112228.801 488616.73, 112228.145 488634.241, 112227.948 488639.486, 112227.948 488640.953, 112227.769 488646.231, 112227.222 488658.436, 114160.397 488670.845, 114167.391 487978.686))"
F79b,BU03637901,Buurt 10,FB02,BU0363FB02,De Eendracht,FB,Geuzenveld,F,Nieuw-West,52.38133818287501,4.790848940674178,"SRID=28992;POLYGON ((114638.801 488192.27, 114604.008 487984.867, 114478.735 488006.36, 114476.685 487979.783, 114167.391 487978.686, 114160.397 488670.845, 114628.371 488674.554, 114638.801 488192.27))"
F80a,BU03638000,Ookmeer,FF02,BU0363FF02,Ookmeer,FF,Lutkemeer/Ookmeer,F,Nieuw-West,52.36932375764786,4.799488359572632,"SRID=28992;POLYGON ((115366.071 487341.571, 115360.587 487310.638, 115358.992 487295.613, 115358.013 487273.491, 115359.562 487239.198, 115363.559 487216.583, 115371.043 487182.641, 115379.32 487150.7, 115389.34 487117.08, 115424.648 487011.292, 115519.313 486716.865, 115141.863 486596.326, 114685.179 486448.198, 114576.605 486787.687, 114561.271 487350.413, 114557.443 487394.612, 114551.964 487434.289, 114535.465 487489.917, 114597.002 487488.961, 115099.097 487404.051, 115370.192 487357.932, 115366.071 487341.571))"
