BUURTCODE_2015,BUURTCODE_CBS_2015,BUURTNAAM_2015,BUURTCODE_2022,BUURTCODE_CBS_2022,BUURTNAAM_2022,WIJKCODE_2022,WIJKNAAM_2022,STADSDEELCODE,STADSDEELNAAM,latitude,longitude,geometrie
A07a,BU03630700,Leidsebuurt Noordwest,AH01,BU0363AH01,Leidsebuurt-Noordwest,AH,De Weteringschans,A,Centrum,52.36520516749498,4.882610323449563,"SRID=28992;POLYGON ((120650.191 486584.809, 120692.34 486541.397, 120750.405 486476.559, 120757.415 486467.356, 120668.173 486398.68, 120655.363 486380.887, 120628.377 486412.009, 120608.789 486397.133, 120575.39 486436.862, 120567.27 486430.391, 120512.721 486498.016, 120502.325 486513.823, 120515.616 486521.071, 120644.532 486596.234, 120650.191 486584.809))"
A07b,BU03630701,Leidsebuurt Zuidwest,AH05,BU0363AH05,Leidsebuurt-Zuidwest,AH,De Weteringschans,A,Centrum,52.36434807829591,4.880910056371058,"SRID=28992;POLYGON ((120512.721 486498.016, 120567.27 486430.391, 120575.39 486436.862, 120608.789 486397.133, 120628.377 486412.009, 120655.363 486380.887, 120628.541 486343.634, 120535.889 486273.489, 120528.148 486283.844, 120509.868 486304.058, 120500.207 486313.455, 120488.993 486322.805, 120469.828 486335.724, 120456.421 486342.867, 120437.271 486351.361, 120425.313 486359.882, 120418.041 486367.743, 120412.932 486375.488, 120408.836 486384.448, 120405.993 486393.91, 120402.488 486409.825, 120400.342 486425.98, 120399.568 486442.258, 120400.18 486458.636, 120459.98 486490.064, 120502.325 486513.823, 120512.721 486498.016))"
A07c,BU03630702,Leidsebuurt Noordoost,AH02,BU0363AH02,Leidsebuurt-Noordoost,AH,De Weteringschans,A,Centrum,52.36336120599548,4.885279078422041,"SRID=28992;POLYGON ((120764.36 486458.239, 120776.709 486446.396, 120987.733 486215.213, 120975.587 486191.302, 120915.578 486086.778, 120694.736 486269.15, 120628.541 486343.634, 120655.363 486380.887, 120668.173 486398.68, 120757.415 486467.356, 120764.36 486458.239))"
A07d,BU03630703,Leidsebuurt Zuidoost,AH06,BU0363AH06,Leidsebuurt-Zuidoost,AH,De Weteringschans,A,Centrum,52.36237111907853,4.883859758310872,"SRID=28992;POLYGON ((120694.736 486269.15, 120915.578 486086.778, 120926.019 486078.237, 120912.43 486055.211, 120896.125 486016.949, 120888.682 486005.946, 120878.919 485994.051, 120816.983 486045.314, 120750.511 486100.317, 120739.052 486107.846, 120726.168 486114.066, 120712.568 486118.505, 120698.496 486121.084, 120630.122 486123.542, 120621.687 486124.704, 120614.002 486126.864, 120604.662 486131.098, 120593.748 486138.06, 120584.515 486145.17, 120577.056 486152.628, 120570.007 486163.153, 120567.847 486167.903, 120564.086 486178.369, 120561.476 486188.748, 120558.667 486217.204, 120554.749 486236.51, 120547.805 486257.552, 120535.889 486273.489, 120628.541 486343.634, 120694.736 486269.15))"
A07e,BU03630704,Weteringbuurt,AH03,BU0363AH03,Weteringbuurt,AH,De Weteringschans,A,Centrum,52.361130100247465,4.891784058630146,"SRID=28992;POLYGON ((121551.546 485930.858, 121553.355 485888.655, 121551.417 485868.86, 121183.305 485907.997, 121138.575 485913.45, 121131.534 485915.535, 120926.019 486078.237, 120915.578 486086.778, 120975.587 486191.302, 120987.733 486215.213, 120994.032 486208.491, 120998.55 486206.112, 121002.868 486203.839, 121533.975 486081.395, 121546.267 486082.954, 121551.546 485930.858))"
A07f,BU03630705,Den Texbuurt,AH07,BU0363AH07,Den Texbuurt,AH,De Weteringschans,A,Centrum,52.35938353910552,4.891721571907335,"SRID=28992;POLYGON ((121565.267 485867.35, 121565.276 485850.261, 121549.662 485685.397, 121189.039 485723.754, 121173.711 485726.884, 121158.937 485730.955, 121143.871 485736.234, 121129.787 485742.274, 121116.137 485749.241, 121102.446 485757.449, 121088.847 485766.972, 121078.56 485775.493, 121056.787 485796.925, 121037.397 485820.535, 121021.735 485844.144, 121013.693 485860.15, 121005.829 485873.614, 120990.655 485894.954, 120972.744 485914.902, 120952.665 485932.665, 120878.919 485994.051, 120888.682 486005.946, 120896.125 486016.949, 120912.43 486055.211, 120926.019 486078.237, 121131.534 485915.535, 121138.575 485913.45, 121183.305 485907.997, 121551.417 485868.86, 121565.267 485867.35))"
A07g,BU03630706,Utrechtsebuurt Zuid,AH04,BU0363AH04,Utrechtsebuurt-Zuid,AH,De Weteringschans,A,Centrum,52.36155714375786,4.899552764862618,"SRID=28992;POLYGON ((122041.023 486083.734, 121893.824 486036.902, 121551.546 485930.858, 121546.267 486082.954, 121563.767 486085.174, 121575.518 486088.04, 122002.289 486211.757, 122041.023 486083.734))"
A07h,BU03630707,Frederikspleinbuurt,AH08,BU0363AH08,Frederikspleinbuurt,AH,De Weteringschans,A,Centrum,52.35965985002732,4.900203820377528,"SRID=28992;POLYGON ((122097.941 485893.246, 122126.63 485811.199, 122083.34 485793.32, 121924.557 485743.896, 121758.789 485689.956, 121742.355 485684.328, 121725.611 485679.696, 121708.62 485676.078, 121691.443 485673.487, 121676.388 485672.075, 121549.662 485685.397, 121565.276 485850.261, 121565.267 485867.35, 121551.417 485868.86, 121553.355 485888.655, 121551.546 485930.858, 121893.824 486036.902, 122041.023 486083.734, 122045.281 486069.645, 122097.941 485893.246))"
A08a,BU03630800,Weesperbuurt,AJ01,BU0363AJ01,Weesperbuurt,AJ,Weesperbuurt/Plantage,A,Centrum,52.364249566974905,4.906670925787628,"SRID=28992;POLYGON ((122247.115 486634.453, 122308.058 486611.242, 122317.585 486606.981, 122330.681 486599.305, 122342.865 486590.249, 122356.306 486577.466, 122367.606 486563.47, 122377.367 486531.172, 122420.522 486544.046, 122534.051 486480.974, 122582.19 486452.54, 122723.525 486371.998, 122794.414 486333.477, 122783.213 486313.915, 122548.15 486240.094, 122156.974 486119.737, 122161.516 486104.648, 122045.281 486069.645, 122041.023 486083.734, 122002.289 486211.757, 121921.422 486474.603, 121898.755 486543.41, 121940.889 486555.442, 122199.982 486634.239, 122227.619 486646.534, 122233.127 486650.839, 122247.115 486634.453))"
A08b,BU03630801,Sarphatistrook,AJ03,BU0363AJ03,Sarphatistrook,AJ,Weesperbuurt/Plantage,A,Centrum,52.36177766607991,4.910033676908715,"SRID=28992;POLYGON ((122768.777 486061.135, 122687.946 486046.392, 122614.973 486034.554, 122604.489 486031.637, 122595.249 486027.134, 122586.945 486021.077, 122581.388 486015.511, 122575.529 486007.626, 122567.613 485999.018, 122550.382 485984.596, 122531.757 485973.711, 122510.734 485965.778, 122490.455 485961.746, 122468.895 485960.99, 122449.265 485963.411, 122427.672 485969.362, 122412.16 485970.45, 122395.582 485968.443, 122379.192 485962.989, 122355.07 485952.904, 122342.085 485945.413, 122332.631 485938.737, 122323.349 485930.975, 122314.388 485922.081, 122295.447 485898.252, 122282.954 485884.147, 122263.776 485867.287, 122254.408 485860.673, 122231.607 485848.157, 122218.196 485842.544, 122162.764 485826.131, 122126.63 485811.199, 122097.941 485893.246, 122045.281 486069.645, 122161.516 486104.648, 122156.974 486119.737, 122548.15 486240.094, 122783.213 486313.915, 122794.414 486333.477, 122843.638 486306.729, 122845.81 486301.535, 122896.479 486272.545, 122902.289 486270.174, 122914.44 486267.088, 122930.085 486266.449, 122942.446 486268.534, 122957.016 486274.27, 123004.495 486130.171, 122931.216 486126.043, 122919.389 486123.751, 122903.273 486119.469, 122888.008 486114.18, 122840.091 486092.979, 122768.777 486061.135))"
