"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Calandlaan/Lelylaan";"Amsterdam                               ";"BU0363FK04";200;;;;61,8;9,8;15,6;27,3
"Osdorp-Zuidoost";"Amsterdam                               ";"BU0363FK05";1250;33,9;28,5;;61,8;11,7;9;21,6
"Slotervaart-Noord";"Amsterdam                               ";"WK0363FL  ";2120;37,2;28,8;33,4;51,8;16;10,3;20,9
"Oostoever Sloterplas";"Amsterdam                               ";"BU0363FL01";830;;;;39,3;27,3;4,8;15,1
"Emanuel van Meterenbuurt";"Amsterdam                               ";"BU0363FL02";820;;;;51,4;17,3;11,3;19,4
"Jacob Geelbuurt";"Amsterdam                               ";"BU0363FL03";400;;20,9;;62,7;5,6;14,3;27,1
"Overtoomse Veld";"Amsterdam                               ";"WK0363FM  ";5070;39,5;31,6;33,3;50,7;15,2;9,7;17,1
"Lucas/Andreasziekenhuis e.o.";"Amsterdam                               ";"BU0363FM01";;;;;57,9;6,9;5;3,4
"Overtoomse Veld-Noord";"Amsterdam                               ";"BU0363FM02";1580;37,4;28,4;;44,5;19,9;12;23,6
"Rembrandtpark-Noord";"Amsterdam                               ";"BU0363FM03";;;;;66,9;8,6;5,9;7,8
"Overtoomse Veld-Zuid";"Amsterdam                               ";"BU0363FM04";1780;40,9;33,4;;51;13,4;5,9;12,5
"Rembrandtpark-Zuid";"Amsterdam                               ";"BU0363FM05";;;;;34,6;24,9;4,2;5,8
"Johan Jongkindbuurt";"Amsterdam                               ";"BU0363FM06";;;;;71,7;6,1;31;38,2
"Slotervaart-Zuid";"Amsterdam                               ";"WK0363FN  ";3210;35,3;28,1;30,6;58;11;9,9;21
"Louis Crispijnbuurt";"Amsterdam                               ";"BU0363FN01";870;32;25,8;;60;9,2;9,3;20,5
"Jacques Veldmanbuurt";"Amsterdam                               ";"BU0363FN02";1290;39,6;32,1;;54,3;12;7,8;17,1
"Medisch Centrum Slotervaart";"Amsterdam                               ";"BU0363FN03";;;;;93,1;0,7;20,8;31,2
"Staalmanbuurt";"Amsterdam                               ";"BU0363FN04";760;;28,1;;46,6;16,1;11,2;24,4
"Westlandgracht";"Amsterdam                               ";"WK0363FP  ";6690;45,1;38,9;34;57,8;13,1;9,8;15,9
"Schipluidenbuurt";"Amsterdam                               ";"BU0363FP01";;;;;67,6;6,7;13;14,6
"Koningin Wilhelminaplein";"Amsterdam                               ";"BU0363FP02";1880;61;52,7;;30,4;22,6;3,4;3,6
"Andreasterrein";"Amsterdam                               ";"BU0363FP03";630;;;;30,2;38,1;7,1;13,8
"Delflandpleinbuurt-West";"Amsterdam                               ";"BU0363FP04";2160;36,8;32;29,6;66,6;8,4;10,1;18,9
"Delflandpleinbuurt-Oost";"Amsterdam                               ";"BU0363FP05";660;;;;70,7;8,9;13,7;27,2
"Riekerhaven";"Amsterdam                               ";"BU0363FP06";;;;;93,1;0;33,5;44,6
"Sloten/Nieuw-Sloten";"Amsterdam                               ";"WK0363FQ  ";5380;46,4;37,8;41,8;32;28;5;8,8
"Dorp Sloten";"Amsterdam                               ";"BU0363FQ01";240;;;;31,5;30,6;6;8,5
"Nieuw-Sloten-Noordwest";"Amsterdam                               ";"BU0363FQ02";910;;34,4;;32,6;28,7;6,2;12,1
"Nieuw-Sloten-Noordoost";"Amsterdam                               ";"BU0363FQ03";1070;42,1;34,2;;36,2;23,3;4,8;9
"Nieuw-Sloten-Zuidwest";"Amsterdam                               ";"BU0363FQ04";870;;;;13,9;44,9;1,9;2,2
"Belgiëplein e.o.";"Amsterdam                               ";"BU0363FQ05";510;;;;51,6;14,5;7,9;19,1
"Nieuw-Sloten-Zuidoost";"Amsterdam                               ";"BU0363FQ06";700;;;;32,4;25,1;4,7;6,3
"Sloterweg e.o.";"Amsterdam                               ";"BU0363FQ07";;;;;21,6;45,6;8,2;8,2
"Park Haagseweg";"Amsterdam                               ";"BU0363FQ08";440;;;;14,3;44,4;2;2,5
"Riekerpolder";"Amsterdam                               ";"BU0363FQ09";;;;;35;14,7;1,7;2,2
"Nieuwe Meer";"Amsterdam                               ";"BU0363FQ10";;;;;;;;
"Hoofddorppleinbuurt";"Amsterdam                               ";"WK0363KA  ";6550;56,9;49;45;41,3;24,4;7,1;12,3
"Westlandgrachtbuurt";"Amsterdam                               ";"BU0363KA01";1910;57,1;48,8;;39,6;25,1;6,2;12
"Surinamepleinbuurt";"Amsterdam                               ";"BU0363KA02";830;;;;47,4;24,3;9,3;13,8
"Legmeerpleinbuurt";"Amsterdam                               ";"BU0363KA03";760;;;;40,8;24,1;6,7;12,4
"Aalsmeerwegbuurt-West";"Amsterdam                               ";"BU0363KA04";1550;;;;38,3;24,5;6,8;11,2
"Aalsmeerwegbuurt-Oost";"Amsterdam                               ";"BU0363KA05";1360;;;;40,8;24;7,4;13,2
"Bedrijventerrein Schinkel";"Amsterdam                               ";"BU0363KA06";;;;;70,2;17,4;;
"Schinkelbuurt";"Amsterdam                               ";"WK0363KB  ";2090;53,3;47,3;;49,8;17,2;8,7;16,1
"Schinkelbuurt-Noord";"Amsterdam                               ";"BU0363KB01";1400;;;;45,5;20,2;7,4;12,9
"Schinkelbuurt-Zuid";"Amsterdam                               ";"BU0363KB02";;;;;56,8;12,4;10,8;21,2
"Willemspark";"Amsterdam                               ";"WK0363KC  ";2580;102,6;78,5;110,1;28,6;43,7;5,8;8,8
"Vondelpark-West";"Amsterdam                               ";"BU0363KC01";;;;;;;;
"Willemsparkbuurt-Noord";"Amsterdam                               ";"BU0363KC02";930;;;;31,7;44,1;6,7;8,5
"Valeriusbuurt-West";"Amsterdam                               ";"BU0363KC03";1370;;67,8;;29,9;39,2;5,4;9,8
"Valeriusbuurt-Oost";"Amsterdam                               ";"BU0363KC04";460;;;;22;52,2;5,3;7,2
"Museumkwartier";"Amsterdam                               ";"WK0363KD  ";7100;97,1;78,5;88,5;33;35,5;6,1;8,9
"Vondelpark-Oost";"Amsterdam                               ";"BU0363KD01";;;;;;;;
"Cornelis Schuytbuurt";"Amsterdam                               ";"BU0363KD02";1610;;86,2;;25,9;46,5;6,4;7,4
"Concertgebouwbuurt";"Amsterdam                               ";"BU0363KD03";1040;;;;30,5;40;6,5;9,1
"P.C. Hooftbuurt";"Amsterdam                               ";"BU0363KD04";430;;;;31,9;39,6;6,3;8,5
"Museumplein";"Amsterdam                               ";"BU0363KD05";;;;;;;;
"Banpleinbuurt";"Amsterdam                               ";"BU0363KD06";;;;;28,1;46,8;5,8;7
"Hondecoeterbuurt";"Amsterdam                               ";"BU0363KD07";1220;;;;32,7;35,5;4,9;8,4
"Johannes Vermeerbuurt";"Amsterdam                               ";"BU0363KD08";830;;;;28,5;39,3;5,7;8,6
"Duivelseiland";"Amsterdam                               ";"BU0363KD09";920;;;;42,1;25,3;8,4;13
"Harmoniehofbuurt";"Amsterdam                               ";"BU0363KD10";600;;;;45,4;12,4;4,8;9,4
"Oude Pijp";"Amsterdam                               ";"WK0363KE  ";8030;52;46,1;40,2;52,2;16,2;9,7;16,9
"Frans Halsbuurt";"Amsterdam                               ";"BU0363KE01";1410;;49,7;;51,1;18,7;10,5;16,3
"Gerard Doubuurt";"Amsterdam                               ";"BU0363KE02";940;;;;54,6;14,9;11,2;21,5
"Hercules Seghersbuurt";"Amsterdam                               ";"BU0363KE03";1250;;;;55,7;11,8;10,3;18,7
"Sarphatiparkbuurt";"Amsterdam                               ";"BU0363KE04";2860;49,6;44,4;37,7;52,9;14,7;9;16,3
"Hemonybuurt";"Amsterdam                               ";"BU0363KE05";1560;;51,3;;46,4;22,2;8,4;13,2
"Nieuwe Pijp";"Amsterdam                               ";"WK0363KF  ";6430;52;46,2;40,2;51,3;17,6;10,3;18,9
"Cornelis Troostbuurt";"Amsterdam                               ";"BU0363KF01";2200;52,6;46,5;;49,6;18,6;10,3;17,5
"Lizzy Ansinghbuurt";"Amsterdam                               ";"BU0363KF02";1120;;;;49,6;16,5;10;19,6
"Van der Helstpleinbuurt";"Amsterdam                               ";"BU0363KF03";1910;54,3;47,9;;48,5;19,2;9,9;15,8
"Willibrordusbuurt";"Amsterdam                               ";"BU0363KF04";1140;;44,6;;58,6;15;11,2;24,6
"Zuid Pijp";"Amsterdam                               ";"WK0363KG  ";3060;37,6;32,4;32,9;60,3;10,7;14;29,7
"BurgemeesterTellegenbuurt-West";"Amsterdam                               ";"BU0363KG01";800;;;;61,7;9,9;12,4;30,2
"Burgemeester Tellegenbuurt-Oost";"Amsterdam                               ";"BU0363KG02";1240;;34;;58,1;10,9;13,7;27,7
"Diamantbuurt";"Amsterdam                               ";"BU0363KG03";1050;36,9;31,1;;61,3;11,2;15,4;31,2
"Stadionbuurt";"Amsterdam                               ";"WK0363KH  ";4920;53,4;44,8;41,5;48,5;19,6;9;19,8
"Bertelmanpleinbuurt";"Amsterdam                               ";"BU0363KH01";420;;;;60,8;7,2;11,3;26,8
"Olympisch Stadion e.o.";"Amsterdam                               ";"BU0363KH02";960;;;;35;32,5;7,3;14,3
"Marathonbuurt-West";"Amsterdam                               ";"BU0363KH03";720;;;;63,2;8,7;14,2;32,6
"Marathonbuurt-Oost";"Amsterdam                               ";"BU0363KH04";500;;;;56,1;12,2;10,8;24,6
"Van Tuyllbuurt";"Amsterdam                               ";"BU0363KH05";2360;60,2;50,8;;41,2;24,7;5,6;11,6
"IJsbaanpad e.o.";"Amsterdam                               ";"BU0363KH06";;;;;23,8;46,3;3,3;4,6
"Apollobuurt";"Amsterdam                               ";"WK0363KJ  ";4310;99,3;74,4;91,8;26,7;46,6;7,4;8,8
"Hiltonbuurt";"Amsterdam                               ";"BU0363KJ01";;;;;;;;
"Minervabuurt-Noord";"Amsterdam                               ";"BU0363KJ02";820;;;;22,1;53,5;6,5;7,2
"Minervabuurt-Midden";"Amsterdam                               ";"BU0363KJ03";1330;;;;24;49,5;6,6;7
"Minervabuurt-Zuid";"Amsterdam                               ";"BU0363KJ04";950;;62,7;;28,8;40,2;6,6;8,1
"Beethovenbuurt";"Amsterdam                               ";"BU0363KJ05";660;;;;34,9;42,6;10,5;14,1
"Diepenbrockbuurt";"Amsterdam                               ";"BU0363KJ06";380;;;;21,1;55,8;9,6;9,9
"Scheldebuurt";"Amsterdam                               ";"WK0363KK  ";8380;60,7;51,2;48,1;39,3;28,2;5,4;11,1
"Wielingenbuurt";"Amsterdam                               ";"BU0363KK01";1750;;54,7;;34,6;32;5;9,4
"Scheldebuurt-West";"Amsterdam                               ";"BU0363KK02";2250;57,7;48,8;;40,9;27,3;5,3;11,4
"Scheldebuurt-Midden";"Amsterdam                               ";"BU0363KK03";1760;64,3;54,2;;38,5;31,3;4,3;9,5
"Scheldebuurt-Oost";"Amsterdam                               ";"BU0363KK04";1470;;;;38,6;25,6;4,9;9,4
"Veluwebuurt";"Amsterdam                               ";"BU0363KK05";620;;;;55,5;15,5;10,2;22,1
"Kop Zuidas";"Amsterdam                               ";"BU0363KK06";;;;;16,5;42,3;2,8;3,3
"IJselbuurt";"Amsterdam                               ";"WK0363KL  ";2380;44,9;39,4;35,8;54,3;14,6;9,4;20
"IJselbuurt-West";"Amsterdam                               ";"BU0363KL01";1020;;;;56,8;13,1;10,9;23,2
"IJselbuurt-Oost";"Amsterdam                               ";"BU0363KL02";1360;;39,3;;52;16;8;17,1
"Rijnbuurt";"Amsterdam                               ";"WK0363KM  ";4810;47,9;42,3;38,6;53,4;15,9;9,8;20,3
"Kromme Mijdrechtbuurt";"Amsterdam                               ";"BU0363KM01";1210;;;;57,6;12,8;11,4;21,6
"Rijnbuurt-West";"Amsterdam                               ";"BU0363KM02";540;;;;69,4;6,6;16,2;35,7
"Rijnbuurt-Midden";"Amsterdam                               ";"BU0363KM03";1350;;;;45,5;20,2;7,3;14,3
"Rijnbuurt-Oost";"Amsterdam                               ";"BU0363KM04";1620;;47,3;;45,3;21,2;6;13,5
"Zorgvlied";"Amsterdam                               ";"BU0363KM05";;;;;;;;
"Prinses Irenebuurt e.o.";"Amsterdam                               ";"WK0363KN  ";700;;;;20,4;43,5;3,2;4,5
"Prinses Irenebuurt";"Amsterdam                               ";"BU0363KN01";700;;;;20,4;43,5;3,2;4,5
"Beatrixpark";"Amsterdam                               ";"BU0363KN02";;;;;;;;
"Zuidas";"Amsterdam                               ";"WK0363KP  ";3160;72,9;60,3;57,9;50,3;23,8;10,7;11,3
"Zuidas-Noord";"Amsterdam                               ";"BU0363KP01";;;;;36;34,9;1,3;2,1
"RAI";"Amsterdam                               ";"BU0363KP02";;;;;;;;
"VU-kwartier";"Amsterdam                               ";"BU0363KP03";;;;;49;15,4;;
"Zuidas-Zuid";"Amsterdam                               ";"BU0363KP04";1640;;76,3;;27,3;36;4,5;4,9
"Vivaldi";"Amsterdam                               ";"BU0363KP05";;;;;80,4;7,9;23,3;24,2
"Buitenveldert-West";"Amsterdam                               ";"WK0363KQ  ";5740;56;46,1;47,4;44,5;21;6,3;14,2
"Amsterdamse Bos";"Amsterdam                               ";"BU0363KQ01";;;;;;;;
"Zuiderhof";"Amsterdam                               ";"BU0363KQ02";;;;;;;;
"Buitenveldert-West-Midden";"Amsterdam                               ";"BU0363KQ03";350;;;;38,6;32,1;5,8;11,3
"Gelderlandpleinbuurt";"Amsterdam                               ";"BU0363KQ04";2180;54,1;45,9;45,6;45;18,9;6,1;13,9
"Buitenveldert-Zuidwest";"Amsterdam                               ";"BU0363KQ05";1840;56,3;46;;49,9;22,4;7,1;18,3
"Buitenveldert-Zuid-Midden";"Amsterdam                               ";"BU0363KQ06";1340;53,1;42,7;;39,8;19,4;5,8;10,7
"Buitenveldert-Oost";"Amsterdam                               ";"WK0363KR  ";3290;52;42,5;41,2;47,5;18,4;7,7;15
"De Klenckebuurt";"Amsterdam                               ";"BU0363KR01";;;;;30;24,4;3,9;6,5
"Buitenveldert-Oost-Midden";"Amsterdam                               ";"BU0363KR02";1300;44,9;37;;50,9;14,9;8,9;20,2
"Buitenveldert-Zuidoost";"Amsterdam                               ";"BU0363KR03";1560;56,2;45,8;;47,6;20,5;7,3;11,6
"Amstelpark";"Amsterdam                               ";"BU0363KR04";;;;;;;;
"Oostelijk Havengebied";"Amsterdam                               ";"WK0363MA  ";10350;56,8;48,3;47,3;33,2;29,3;6,6;11
"Java-eiland";"Amsterdam                               ";"BU0363MA01";1400;56,7;49,3;;38,1;27,6;10,4;12,7
"KNSM-eiland";"Amsterdam                               ";"BU0363MA02";1220;;;;34,5;23,1;6,8;12,4
"Oostelijke Handelskade";"Amsterdam                               ";"BU0363MA03";810;;;;26,2;34,3;6;9,2
"Rietlanden";"Amsterdam                               ";"BU0363MA04";1250;;;;33;31,1;5,7;11,6
"Sporenburg";"Amsterdam                               ";"BU0363MA05";1400;;47,4;;23,7;43;4,4;6,4
"Borneo";"Amsterdam                               ";"BU0363MA06";1440;;45,4;;28,2;36,2;6,1;10,8
"Entrepot-Noordwest";"Amsterdam                               ";"BU0363MA07";570;;;;47,5;17,1;9,7;19,9
"Bedrijvengebied Veelaan";"Amsterdam                               ";"BU0363MA08";;;;;;;;
"Architectenbuurt";"Amsterdam                               ";"BU0363MA09";820;;;;38,7;18;7,6;15,1
"Cruquiusbuurt";"Amsterdam                               ";"BU0363MA10";1640;;;;26,3;33,9;1,8;3,2
"Bedrijvengebied Zeeburgerkade";"Amsterdam                               ";"BU0363MA11";;;;;55,6;11,8;6;7,5
"Weesperzijde";"Amsterdam                               ";"WK0363MB  ";3430;60;51,7;46,3;42,3;24,6;6,9;12,5
"Weesperzijde-Noord";"Amsterdam                               ";"BU0363MB01";1230;;;;39,8;27,7;6,4;10,2
"Weesperzijde-Midden/Zuid";"Amsterdam                               ";"BU0363MB02";1920;58,9;50,5;;39,4;25,5;6,4;13,1
"Parooldriehoek";"Amsterdam                               ";"BU0363MB03";;;;;77,1;3,3;15,8;23,3
"Oosterparkbuurt";"Amsterdam                               ";"WK0363MC  ";4990;45,1;38,8;37,3;54,7;15,5;11,6;22,9
"Oosterparkbuurt-Noordwest";"Amsterdam                               ";"BU0363MC01";1850;43,6;38,5;;57,8;13,1;10,4;20,7
"Oosterpark";"Amsterdam                               ";"BU0363MC02";;;;;80,6;2,8;;
"Oosterparkbuurt-Zuidwest";"Amsterdam                               ";"BU0363MC03";1120;42,6;35,9;;57,5;14,1;14,4;29,3
"Oosterparkbuurt-Zuidoost";"Amsterdam                               ";"BU0363MC04";2010;49,3;41,8;;47,4;20,1;10,1;19,2
"Transvaalbuurt";"Amsterdam                               ";"WK0363MD  ";3640;40;33,8;34,6;54,3;14,6;12,1;25
"Transvaalbuurt-West";"Amsterdam                               ";"BU0363MD01";1650;38,8;33,2;;56;13,4;12,1;26,3
"Transvaalbuurt-Oost";"Amsterdam                               ";"BU0363MD02";1990;41;34,3;35,7;52,8;15,6;12,2;24
"Dapperbuurt";"Amsterdam                               ";"WK0363ME  ";4390;43,3;37,2;36,1;55;15,6;11,5;23,9
"Dapperbuurt-Noord";"Amsterdam                               ";"BU0363ME01";1950;40,1;34,5;;56,2;13,6;11,3;24,5
"Dapperbuurt-Zuid";"Amsterdam                               ";"BU0363ME02";1580;40,7;35,8;;58,7;13;13;24,9
"Oostpoort";"Amsterdam                               ";"BU0363ME03";820;;;;43,3;26,5;8,7;20,2
"Indische Buurt-West";"Amsterdam                               ";"WK0363MF  ";5060;40,4;34,4;34,5;52,9;13,6;12,6;24,2
"Timorpleinbuurt-Noord";"Amsterdam                               ";"BU0363MF01";1980;45,5;38,8;;50,8;15,4;11,4;20,2
"Timorpleinbuurt-Zuid";"Amsterdam                               ";"BU0363MF02";1970;40,9;35,3;34,6;52,7;13,5;12,3;22,7
"Ambonpleinbuurt";"Amsterdam                               ";"BU0363MF03";1130;34,5;28,8;;55,7;11,6;14,4;30,5
"Indische Buurt-Oost";"Amsterdam                               ";"WK0363MG  ";3450;36,4;30,5;32,7;55,9;12,6;13,3;28,1
"Makassarpleinbuurt";"Amsterdam                               ";"BU0363MG01";1790;34,3;29,2;31;60,8;10,5;14,3;31,4
"Zeeburgerdijk-Oost";"Amsterdam                               ";"BU0363MG02";;;;;29,2;30,1;6,3;9,3
"Sumatraplantsoenbuurt";"Amsterdam                               ";"BU0363MG03";1390;37,2;30,4;;50,7;14,1;12,5;25
"Flevopark";"Amsterdam                               ";"BU0363MG04";;;;;;;;
"Zeeburgereiland/Bovendiep";"Amsterdam                               ";"WK0363MH  ";2450;46,7;38,3;34,6;54,6;16,5;10,3;16,3
"Sluisbuurt";"Amsterdam                               ";"BU0363MH01";;;;;;;;
"Sportheldenbuurt";"Amsterdam                               ";"BU0363MH02";2120;53,2;42,3;;42;21,1;7,1;12,9
"Oostpunt Zeeburgereiland";"Amsterdam                               ";"BU0363MH03";;;;;;;;
"Baaibuurt-West";"Amsterdam                               ";"BU0363MH04";;;;;92,2;1,6;;
"Baaibuurt-Oost";"Amsterdam                               ";"BU0363MH05";;;;;98,4;0,4;33,5;39,4
"Bovendiep/Diemerpark";"Amsterdam                               ";"BU0363MH06";;;;;;;;
"IJburg-West";"Amsterdam                               ";"WK0363MJ  ";6780;54,5;42,4;46,5;30;33,4;5,6;11
"Steigereiland-Zuid";"Amsterdam                               ";"BU0363MJ01";940;;41,3;;29,1;39,9;5,9;11,4
"Steigereiland-Noord";"Amsterdam                               ";"BU0363MJ02";1160;;;;31,8;25,5;4,3;8,1
"Rieteilanden-West";"Amsterdam                               ";"BU0363MJ03";1330;;51,9;;15,1;54,2;4,3;5,5
"Joris Ivenspleinbuurt";"Amsterdam                               ";"BU0363MJ04";1060;;40,4;;38,1;23,9;5,7;13
"Ed Pelsterparkbuurt";"Amsterdam                               ";"BU0363MJ05";2220;49,8;38;;30,8;31,6;6,6;13,2
"IJburg-Oost";"Amsterdam                               ";"WK0363MK  ";;;;;31,6;32,8;4,9;14,2
"Buiteneiland";"Amsterdam                               ";"BU0363MK01";;;;;;;;
"Pampusbuurt-West";"Amsterdam                               ";"BU0363MK02";;;;;;;;
"Pampusbuurt-Oost";"Amsterdam                               ";"BU0363MK03";;;;;;;;
"Centrumeiland";"Amsterdam                               ";"BU0363MK04";;;;;31,6;32,8;4,9;14,2
"Muidenbuurt-West";"Amsterdam                               ";"BU0363MK05";;;;;;;;
"IJburg-Zuid";"Amsterdam                               ";"WK0363ML  ";3190;54,5;39,2;46,6;30,3;35,7;7;13,5
"Havenkwartier IJburg";"Amsterdam                               ";"BU0363ML01";760;;;;39,6;16,7;7,2;17,2
"Theo van Goghparkbuurt";"Amsterdam                               ";"BU0363ML02";2270;56,6;39,8;;27,7;41;7,1;12,6
"Rieteiland-Oost";"Amsterdam                               ";"BU0363ML03";;;;;;;;
"Frankendael";"Amsterdam                               ";"WK0363MM  ";5330;45,9;38,9;36,3;56,6;16,5;8,7;18,5
"Van der Kunbuurt";"Amsterdam                               ";"BU0363MM01";;;;;58,1;6,2;12,2;27,2
"De Eenhoorn";"Amsterdam                               ";"BU0363MM02";1260;;;;71,9;9,4;8,5;15,8
"Don Bosco";"Amsterdam                               ";"BU0363MM03";1000;;;;39;28,9;5,4;11,3
"Julianapark";"Amsterdam                               ";"BU0363MM04";970;;;;24,2;23,8;3;7
"Frankendael";"Amsterdam                               ";"BU0363MM05";;;;;;;;
"Tuindorp Amstelstation";"Amsterdam                               ";"BU0363MM06";170;;;;76,7;4,6;14,6;39,7
"De Wetbuurt";"Amsterdam                               ";"BU0363MM07";690;;;;46,6;23,1;7,2;18,4
"Tuindorp Frankendael";"Amsterdam                               ";"BU0363MM08";1050;;38,6;;62,3;15,6;11,7;22,1
"Middenmeer";"Amsterdam                               ";"WK0363MN  ";7870;52,4;43,1;41,1;44,8;26,4;5,5;10,5
"Linnaeusparkbuurt";"Amsterdam                               ";"BU0363MN01";1400;;51;;34,2;33,6;5;9,4
"Middenmeer-Noord";"Amsterdam                               ";"BU0363MN02";1440;;46,6;;33,7;35,6;3,6;9,1
"Middenmeer-Zuid";"Amsterdam                               ";"BU0363MN03";2640;53;42,1;;36,1;29,8;5;9,3
"Science Park-Noord";"Amsterdam                               ";"BU0363MN04";1420;;;;68;13,4;4,9;7,1
"Science Park-Zuid";"Amsterdam                               ";"BU0363MN05";;;;;93,9;1,1;18,4;33,9
"Sportpark Middenmeer-Zuid";"Amsterdam                               ";"BU0363MN06";;;;;42,2;20;5;12,8
"Sportpark Middenmeer-Noord";"Amsterdam                               ";"BU0363MN07";;;;;95,9;0,4;21,3;31,4
"Park de Meer";"Amsterdam                               ";"BU0363MN08";660;;;;29,1;33,1;4,5;11
"Sportpark Voorland";"Amsterdam                               ";"BU0363MN09";;;;;;;;
"Betondorp";"Amsterdam                               ";"WK0363MP  ";930;34,6;29,6;;62,9;8,1;12,1;29,3
"Drieburg";"Amsterdam                               ";"BU0363MP01";;;;;;;;
"Nieuwe Oosterbegraafplaats";"Amsterdam                               ";"BU0363MP02";;;;;;;;
"Betondorp";"Amsterdam                               ";"BU0363MP03";;34,5;29,6;;63;8;12,1;29,4
"Omval/Overamstel";"Amsterdam                               ";"WK0363MQ  ";3690;64,5;56,8;45,7;45,5;23,2;5,2;7,1
"De Omval";"Amsterdam                               ";"BU0363MQ01";;;;;20,2;38,8;2,5;2,3
"Overamstel";"Amsterdam                               ";"BU0363MQ02";;;;;;;;
"Amstelglorie";"Amsterdam                               ";"BU0363MQ03";;;;;;;;
"Amstelkwartier-West";"Amsterdam                               ";"BU0363MQ04";;;;;68;11,5;9,3;12,4
"Amstelkwartier-Noord";"Amsterdam                               ";"BU0363MQ05";1880;;58,7;;44,8;22,9;5;7,7
"Amstelkwartier-Zuid";"Amsterdam                               ";"BU0363MQ06";;;;;;;;
"Weespertrekvaart";"Amsterdam                               ";"BU0363MQ07";;;;;38,1;27,9;4;4,5
"Oostzanerwerf";"Amsterdam                               ";"WK0363NA  ";2030;37,1;29,6;35,2;42,4;18,6;8,3;17,1
"Noorder IJplas";"Amsterdam                               ";"BU0363NA01";;;;;;;;
"Melkweg/Oostzanerwerf";"Amsterdam                               ";"BU0363NA02";;;;;;;;
"Walvisbuurt";"Amsterdam                               ";"BU0363NA03";330;;;;28,9;26;3,6;7,6
"Twiske-West";"Amsterdam                               ";"BU0363NA04";790;;34,3;;28,1;33,3;5;9,7
"Oostzanerdijk";"Amsterdam                               ";"BU0363NA05";;;;;31,4;34,6;6,8;9,5
"Circus/Kermisbuurt";"Amsterdam                               ";"BU0363NA06";370;;;;41,2;14,2;7,7;13,1
"Molenwijk";"Amsterdam                               ";"BU0363NA07";400;;21,1;;60,5;5;13,1;29,3
"Noordelijke IJ-oevers-West";"Amsterdam                               ";"WK0363NB  ";6170;55,2;48,3;42;44,9;22,1;8;11
"Cornelis Douwesterrein-West";"Amsterdam                               ";"BU0363NB01";;;;;;;;
"Cornelis Douwesterrein-Oost";"Amsterdam                               ";"BU0363NB02";;;;;;;;
"NDSM terrein";"Amsterdam                               ";"BU0363NB03";2340;45;42,4;;58;8,2;8,9;10,7
"Buiksloterham-Zuid";"Amsterdam                               ";"BU0363NB04";;;;;45,8;21,3;12,6;21,6
"Buiksloterham-Noord";"Amsterdam                               ";"BU0363NB05";920;;;;31,9;39,5;7,2;7,9
"Klaprozenbuurt";"Amsterdam                               ";"BU0363NB06";;;;;;;;
"Overhoeks";"Amsterdam                               ";"BU0363NB07";1920;66,8;59,4;;32,2;34,5;5,3;8
"Tuindorp Oostzaan";"Amsterdam                               ";"WK0363NC  ";3410;35,9;28,3;32,8;50;15,4;9,1;21,3
"Tuindorp Oostzaan-West";"Amsterdam                               ";"BU0363NC01";160;;;;54;8,8;7,8;22
"Tuindorp Oostzaan-Oost";"Amsterdam                               ";"BU0363NC02";840;33,6;27,3;;50,7;12,1;9,1;21,2
"Terrasdorp";"Amsterdam                               ";"BU0363NC03";1210;32,8;27,3;;59,5;8,9;11,3;26,6
"De Bongerd";"Amsterdam                               ";"BU0363NC04";1060;;32,3;;23,2;41,9;4,6;8,9
"Kadoelen";"Amsterdam                               ";"WK0363ND  ";1080;46,5;35,3;;28,4;34,7;4,4;9
"Twiske-Oost";"Amsterdam                               ";"BU0363ND01";190;;;;36;23,6;3,2;9,9
"Kadoelen";"Amsterdam                               ";"BU0363ND02";880;;;;24,8;40,1;5;8,6
"Banne Buiksloot";"Amsterdam                               ";"WK0363NE  ";3120;33,1;25,9;31,6;51,4;13,2;10,5;23
"Banne-Noordwest";"Amsterdam                               ";"BU0363NE01";340;;21,8;;60,7;7,9;12,9;27,9
"Banne-Noordoost";"Amsterdam                               ";"BU0363NE02";580;30,3;23,7;;48,2;11,8;10,4;22,7
"Banne-Zuidwest";"Amsterdam                               ";"BU0363NE03";830;29,7;22,8;;52,7;12,3;11,6;25,8
"Banne-Zuidoost";"Amsterdam                               ";"BU0363NE04";1080;39,5;31;;50,2;15,2;9;20,1
"Buiksloterbreek";"Amsterdam                               ";"BU0363NE05";;;;;15,5;47,3;4;4,8
"Marjoleinterrein";"Amsterdam                               ";"BU0363NE06";;;;;41,3;24,5;6,7;12,7
"Nieuwendammerdijk/Buiksloterdijk";"Amsterdam                               ";"WK0363NF  ";840;;;;15,3;50,4;3,3;3,6
"Buiksloterdijk-West";"Amsterdam                               ";"BU0363NF01";;;;;;;;
"Buiksloterdijk-Oost";"Amsterdam                               ";"BU0363NF02";;;;;;;;
"Nieuwendammerdijk-West";"Amsterdam                               ";"BU0363NF03";540;;;;16,8;46,9;4;3,5
"Nieuwendammerdijk-Oost";"Amsterdam                               ";"BU0363NF04";;;;;12,9;57,3;1,6;4,1
