"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Vijzelstraatbuurt";"Amsterdam                               ";"BU0363AG05";670;;;;40;30,7;7,8;9,4
"Amstelveldbuurt";"Amsterdam                               ";"BU0363AG06";980;;;;40,3;28,3;8,7;10,6
"De Weteringschans";"Amsterdam                               ";"WK0363AH  ";4540;62,9;55,1;77,4;43,5;23,3;7,9;11,8
"Leidsebuurt-Noordwest";"Amsterdam                               ";"BU0363AH01";;;;;49;14,6;5,6;7,3
"Leidsebuurt-Noordoost";"Amsterdam                               ";"BU0363AH02";;;;;50;14,5;8,7;11,3
"Weteringbuurt";"Amsterdam                               ";"BU0363AH03";1420;;;;42,8;23,4;7,7;11,5
"Utrechtsebuurt-Zuid";"Amsterdam                               ";"BU0363AH04";720;;;;42,1;23,6;8;12,8
"Leidsebuurt-Zuidwest";"Amsterdam                               ";"BU0363AH05";;;;;62,6;15,9;;
"Leidsebuurt-Zuidoost";"Amsterdam                               ";"BU0363AH06";;;;;49,5;18,9;8,5;12,1
"Den Texbuurt";"Amsterdam                               ";"BU0363AH07";620;;;;38,8;30,4;6,5;11,5
"Frederikspleinbuurt";"Amsterdam                               ";"BU0363AH08";580;;;;36,8;32,1;8,9;13
"Weesperbuurt/Plantage";"Amsterdam                               ";"WK0363AJ  ";3740;57,8;51;57;46,5;22,3;8;13,6
"Weesperbuurt";"Amsterdam                               ";"BU0363AJ01";1390;57;51,6;;51,9;18,8;7,9;15,5
"Plantage";"Amsterdam                               ";"BU0363AJ02";1140;;;;36;26,7;6,6;9,6
"Sarphatistrook";"Amsterdam                               ";"BU0363AJ03";1070;;;;51;21,6;10;16,6
"Alexanderplein e.o.";"Amsterdam                               ";"BU0363AJ04";;;;;40,6;28,2;6,3;7,7
"Oostelijke Eilanden/Kadijken";"Amsterdam                               ";"WK0363AK  ";7730;45,6;40,2;37,6;51,2;16;9,9;18,7
"Marine-Etablissement";"Amsterdam                               ";"BU0363AK01";;;;;;;;
"Kattenburg";"Amsterdam                               ";"BU0363AK02";560;;;;63,5;12,5;9,4;22,3
"Wittenburg";"Amsterdam                               ";"BU0363AK03";1120;;;;51,4;14,7;10,5;21,1
"Oostenburg";"Amsterdam                               ";"BU0363AK04";2050;50,9;46,2;;45,7;15,5;7,2;13,3
"Czaar Peterbuurt";"Amsterdam                               ";"BU0363AK05";1130;;;;57;13,2;13,9;23
"Het Funen";"Amsterdam                               ";"BU0363AK06";670;;;;35,1;33,7;5,4;11,7
"Kadijken";"Amsterdam                               ";"BU0363AK07";1610;46,9;41,6;;50,8;16,8;9,8;18,5
"Kazernebuurt";"Amsterdam                               ";"BU0363AK08";480;;;;54,4;11,8;13,1;22,8
"Havens-West";"Amsterdam                               ";"WK0363BA  ";;;;;;;;
"Afrikahaven";"Amsterdam                               ";"BU0363BA01";;;;;;;;
"Amerikahaven";"Amsterdam                               ";"BU0363BA02";;;;;;;;
"Westhaven-Noord";"Amsterdam                               ";"BU0363BA03";;;;;;;;
"Petroleumhaven";"Amsterdam                               ";"BU0363BA04";;;;;;;;
"Vervoerscentrum";"Amsterdam                               ";"BU0363BA05";;;;;;;;
"Westhaven-Zuid";"Amsterdam                               ";"BU0363BA06";;;;;;;;
"Coenhaven/Minervahaven";"Amsterdam                               ";"WK0363BB  ";;;;;96,4;0,3;;
