"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"Encoding_3";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes_90"
"1303";"BU0363EG04";"Amsterdam                               ";"BU0363EG04";"     3.4";"    17.3";"    12.2";"    17.8";"    31.3";"     0.8";"     0.8";"     3.5"
"1304";"WK0363EH  ";"Amsterdam                               ";"WK0363EH  ";"     3.3";"    18.2";"    15.9";"    11.8";"    47.9";"     0.4";"     0.9";"     2.9"
"1305";"BU0363EH01";"Amsterdam                               ";"BU0363EH01";"     2.3";"    15.4";"    14.4";"     8.6";"    45.8";"     0.3";"     0.8";"     3.1"
"1306";"BU0363EH02";"Amsterdam                               ";"BU0363EH02";"     2.5";"    14.8";"    14.2";"    11.1";"    44.9";"     0.3";"     1.0";"     2.9"
"1307";"BU0363EH03";"Amsterdam                               ";"BU0363EH03";"     4.3";"    21.3";"    17.6";"    15.6";"    53.8";"     0.5";"     1.2";"     2.6"
"1308";"BU0363EH04";"Amsterdam                               ";"BU0363EH04";"     5.4";"    27.4";"    20.5";"    16.8";"    60.1";"     0.6";"     1.2";"     2.5"
"1309";"BU0363EH05";"Amsterdam                               ";"BU0363EH05";"     3.3";"    14.5";"    15.1";"    12.3";"    43.1";"     0.5";"     1.3";"     2.7"
"1310";"BU0363EH06";"Amsterdam                               ";"BU0363EH06";"     3.7";"    20.6";"    16.8";"    11.6";"    47.1";"     0.5";"     0.6";"     3.1"
"1311";"WK0363EJ  ";"Amsterdam                               ";"WK0363EJ  ";"     5.9";"    40.7";"    33.5";"    28.2";"    83.8";"     0.5";"     0.5";"     3.0"
"1312";"BU0363EJ01";"Amsterdam                               ";"BU0363EJ01";"     5.0";"    38.9";"    31.7";"    22.8";"    81.1";"     0.7";"     0.3";"     2.8"
"1313";"BU0363EJ02";"Amsterdam                               ";"BU0363EJ02";"     5.4";"    29.9";"    27.4";"    24.0";"    63.3";"     0.6";"     0.7";"     3.2"
"1314";"BU0363EJ03";"Amsterdam                               ";"BU0363EJ03";"     7.1";"    47.1";"    38.1";"    36.3";"    94.8";"     0.4";"     0.7";"     3.1"
"1315";"WK0363EK  ";"Amsterdam                               ";"WK0363EK  ";"     3.9";"    31.4";"    15.5";"    22.8";"    41.2";"     0.7";"     1.5";"     2.8"
"1316";"BU0363EK01";"Amsterdam                               ";"BU0363EK01";"     3.0";"    21.0";"    10.0";"    18.0";"    29.0";"     0.9";"     1.6";"     2.7"
"1317";"BU0363EK02";"Amsterdam                               ";"BU0363EK02";"     3.9";"    33.3";"    17.4";"    23.1";"    42.9";"     0.8";"     1.7";"     2.6"
"1318";"BU0363EK03";"Amsterdam                               ";"BU0363EK03";"     4.9";"    35.7";"    16.6";"    24.7";"    44.4";"     0.7";"     1.4";"     2.9"
