"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"Encoding_3";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes_90"
"1425";"BU0363FN04";"Amsterdam                               ";"BU0363FN04";"     1.4";"     4.4";"     1.0";"     2.9";"     6.4";"     0.3";"     1.0";"     2.3"
"1426";"WK0363FP  ";"Amsterdam                               ";"WK0363FP  ";"     1.7";"     7.6";"     2.2";"     8.5";"    16.5";"     0.7";"     0.9";"     1.5"
"1427";"BU0363FP01";"Amsterdam                               ";"BU0363FP01";"     1.0";"     8.7";"     1.1";"     8.4";"    15.2";"     1.0";"     0.4";"     1.1"
"1428";"BU0363FP02";"Amsterdam                               ";"BU0363FP02";"     0.3";"     6.9";"     1.7";"     7.5";"    16.5";"     1.2";"     0.7";"     1.3"
"1429";"BU0363FP03";"Amsterdam                               ";"BU0363FP03";"     0.7";"     6.3";"     3.9";"     7.2";"    24.2";"     0.7";"     0.8";"     1.2"
"1430";"BU0363FP04";"Amsterdam                               ";"BU0363FP04";"     2.1";"     5.6";"     1.6";"     7.3";"    11.5";"     0.4";"     1.2";"     1.8"
"1431";"BU0363FP05";"Amsterdam                               ";"BU0363FP05";"     3.7";"    14.3";"     4.3";"    14.7";"    27.0";"     0.5";"     0.8";"     1.8"
"1432";"BU0363FP06";"Amsterdam                               ";"BU0363FP06";"     2.0";"     1.1";"     0.0";"     2.0";"     2.7";"     0.9";"     1.6";"     2.5"
"1433";"WK0363FQ  ";"Amsterdam                               ";"WK0363FQ  ";"     1.3";"     2.6";"     0.2";"     0.8";"     2.4";"     0.7";"     1.0";"     4.0"
"1434";"BU0363FQ01";"Amsterdam                               ";"BU0363FQ01";"     0.0";"     1.3";"     3.0";"     2.0";"     2.0";"     0.8";"     1.1";"     5.1"
"1435";"BU0363FQ02";"Amsterdam                               ";"BU0363FQ02";"     1.2";"     1.7";"     0.0";"     0.4";"     2.6";"     0.4";"     1.1";"     4.1"
"1436";"BU0363FQ03";"Amsterdam                               ";"BU0363FQ03";"     1.0";"     2.8";"     0.1";"     0.7";"     1.1";"     0.6";"     1.2";"     3.5"
"1437";"BU0363FQ04";"Amsterdam                               ";"BU0363FQ04";"     1.6";"     3.2";"     0.2";"     1.0";"     2.7";"     0.8";"     0.6";"     4.4"
"1438";"BU0363FQ05";"Amsterdam                               ";"BU0363FQ05";"     2.0";"     4.0";"     0.0";"     1.0";"     3.3";"     0.5";"     0.7";"     3.9"
"1439";"BU0363FQ06";"Amsterdam                               ";"BU0363FQ06";"     2.0";"     4.0";"     0.0";"     1.1";"     3.7";"     0.4";"     0.7";"     3.6"
"1440";"BU0363FQ07";"Amsterdam                               ";"BU0363FQ07";"     1.0";"     1.9";"     0.8";"     1.2";"     2.2";"     1.3";"     0.8";"     4.6"
"1441";"BU0363FQ08";"Amsterdam                               ";"BU0363FQ08";"     1.0";"     0.8";"     0.0";"     0.0";"     2.0";"     1.6";"     1.4";"     3.6"
"1442";"BU0363FQ09";"Amsterdam                               ";"BU0363FQ09";"     1.0";"     1.0";"     0.0";"     0.0";"     2.0";"     1.5";"     1.8";"     3.5"
"1443";"BU0363FQ10";"Amsterdam                               ";"BU0363FQ10";"     0.0";"     0.0";"     0.0";"     0.0";"     0.4";"     2.1";"     1.9";"     5.5"
"1444";"WK0363KA  ";"Amsterdam                               ";"WK0363KA  ";"     4.3";"    22.1";"     7.2";"    14.9";"    42.8";"     0.6";"     0.7";"     1.9"
"1445";"BU0363KA01";"Amsterdam                               ";"BU0363KA01";"     4.4";"    24.0";"     7.7";"    16.9";"    46.8";"     0.4";"     0.7";"     1.7"
"1446";"BU0363KA02";"Amsterdam                               ";"BU0363KA02";"     3.4";"    18.3";"     8.6";"    11.3";"    46.7";"     0.6";"     1.2";"     1.4"
"1447";"BU0363KA03";"Amsterdam                               ";"BU0363KA03";"     4.4";"    24.3";"     7.3";"    16.1";"    46.9";"     0.6";"     0.7";"     1.8"
"1448";"BU0363KA04";"Amsterdam                               ";"BU0363KA04";"     4.9";"    23.6";"     7.1";"    16.1";"    41.5";"     0.7";"     0.3";"     2.1"
"1449";"BU0363KA05";"Amsterdam                               ";"BU0363KA05";"     4.6";"    21.3";"     6.1";"    13.7";"    36.8";"     0.9";"     0.4";"     2.3"
"1450";"BU0363KA06";"Amsterdam                               ";"BU0363KA06";"     0.0";"     0.1";"     1.0";"     2.7";"     2.8";"     1.3";"     1.2";"     2.9"
"1451";"WK0363KB  ";"Amsterdam                               ";"WK0363KB  ";"     5.7";"    30.7";"    10.3";"    19.0";"    67.7";"     0.9";"     0.9";"     2.2"
"1452";"BU0363KB01";"Amsterdam                               ";"BU0363KB01";"     5.4";"    30.5";"    10.5";"    18.5";"    68.8";"     1.0";"     1.0";"     2.2"
"1453";"BU0363KB02";"Amsterdam                               ";"BU0363KB02";"     6.3";"    31.0";"     9.9";"    19.8";"    65.7";"     0.9";"     0.9";"     2.2"
"1454";"WK0363KC  ";"Amsterdam                               ";"WK0363KC  ";"     5.2";"    31.0";"     6.2";"    15.7";"    58.3";"     0.4";"     0.5";"     2.2"
"1455";"BU0363KC01";"Amsterdam                               ";"BU0363KC01";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1456";"BU0363KC02";"Amsterdam                               ";"BU0363KC02";"     4.1";"    26.9";"     7.8";"    14.4";"    59.4";"     0.7";"     0.7";"     2.3"
"1457";"BU0363KC03";"Amsterdam                               ";"BU0363KC03";"     6.6";"    34.9";"     6.8";"    17.9";"    62.1";"     0.3";"     0.3";"     2.1"
"1458";"BU0363KC04";"Amsterdam                               ";"BU0363KC04";"     3.8";"    28.4";"     3.4";"    12.9";"    50.0";"     0.4";"     0.4";"     2.4"
"1459";"WK0363KD  ";"Amsterdam                               ";"WK0363KD  ";"     5.1";"    36.3";"    12.5";"    24.1";"    76.8";"     0.6";"     0.6";"     2.5"
"1460";"BU0363KD01";"Amsterdam                               ";"BU0363KD01";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1461";"BU0363KD02";"Amsterdam                               ";"BU0363KD02";"     2.3";"    22.6";"     2.0";"    11.9";"    42.2";"     0.6";"     0.8";"     2.5"
"1462";"BU0363KD03";"Amsterdam                               ";"BU0363KD03";"     4.5";"    27.9";"     5.2";"    20.7";"    71.1";"     0.5";"     0.8";"     2.6"
"1463";"BU0363KD04";"Amsterdam                               ";"BU0363KD04";"     6.1";"    21.5";"    29.6";"    28.4";"   107.0";"     0.4";"     0.9";"     3.1"
"1464";"BU0363KD05";"Amsterdam                               ";"BU0363KD05";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1465";"BU0363KD06";"Amsterdam                               ";"BU0363KD06";"     3.7";"    31.4";"     4.4";"    14.5";"    52.7";"     0.2";"     0.5";"     2.2"
"1466";"BU0363KD07";"Amsterdam                               ";"BU0363KD07";"     6.0";"    42.3";"    12.2";"    21.5";"    71.2";"     0.3";"     0.4";"     2.1"
"1467";"BU0363KD08";"Amsterdam                               ";"BU0363KD08";"     5.5";"    40.8";"    19.2";"    35.0";"    95.6";"     0.9";"     0.3";"     2.7"
"1468";"BU0363KD09";"Amsterdam                               ";"BU0363KD09";"     6.9";"    55.9";"    23.2";"    39.0";"   113.2";"     0.8";"     0.4";"     2.3"
"1469";"BU0363KD10";"Amsterdam                               ";"BU0363KD10";"     8.5";"    56.1";"    21.7";"    34.4";"   105.5";"     0.6";"     0.4";"     2.1"
"1470";"WK0363KE  ";"Amsterdam                               ";"WK0363KE  ";"     6.6";"    42.2";"    24.6";"    36.4";"   100.7";"     0.9";"     0.7";"     2.6"
"1471";"BU0363KE01";"Amsterdam                               ";"BU0363KE01";"     6.2";"    45.0";"    26.2";"    40.8";"   108.6";"     1.3";"     0.6";"     2.8"
"1472";"BU0363KE02";"Amsterdam                               ";"BU0363KE02";"     7.9";"    47.1";"    29.0";"    44.0";"   121.2";"     1.0";"     0.9";"     2.8"
"1473";"BU0363KE03";"Amsterdam                               ";"BU0363KE03";"     5.9";"    42.7";"    20.0";"    32.5";"    92.3";"     1.0";"     0.6";"     2.5"
"1474";"BU0363KE04";"Amsterdam                               ";"BU0363KE04";"     5.7";"    40.5";"    22.5";"    31.8";"    89.8";"     0.9";"     0.7";"     2.6"
"1475";"BU0363KE05";"Amsterdam                               ";"BU0363KE05";"     8.1";"    38.5";"    28.1";"    38.7";"   106.5";"     0.5";"     0.8";"     2.2"
"1476";"WK0363KF  ";"Amsterdam                               ";"WK0363KF  ";"     6.8";"    36.5";"    20.6";"    26.5";"    82.5";"     0.6";"     0.4";"     1.9"
"1477";"BU0363KF01";"Amsterdam                               ";"BU0363KF01";"     7.5";"    41.4";"    19.6";"    22.2";"    89.9";"     0.8";"     0.4";"     1.8"
"1478";"BU0363KF02";"Amsterdam                               ";"BU0363KF02";"     7.2";"    47.5";"    21.1";"    24.1";"    93.8";"     0.6";"     0.4";"     1.8"
"1479";"BU0363KF03";"Amsterdam                               ";"BU0363KF03";"     5.6";"    30.8";"    19.9";"    25.7";"    71.5";"     0.4";"     0.6";"     2.1"
"1480";"BU0363KF04";"Amsterdam                               ";"BU0363KF04";"     7.2";"    28.8";"    22.7";"    35.6";"    78.6";"     0.6";"     0.4";"     1.8"
"1481";"WK0363KG  ";"Amsterdam                               ";"WK0363KG  ";"     6.8";"    31.8";"    14.1";"    23.7";"    61.3";"     0.8";"     0.6";"     1.7"
"1482";"BU0363KG01";"Amsterdam                               ";"BU0363KG01";"     6.6";"    42.1";"    13.8";"    19.2";"    69.4";"     0.7";"     0.6";"     1.8"
"1483";"BU0363KG02";"Amsterdam                               ";"BU0363KG02";"     7.2";"    30.0";"    15.3";"    26.2";"    61.8";"     0.8";"     0.7";"     1.8"
"1484";"BU0363KG03";"Amsterdam                               ";"BU0363KG03";"     6.6";"    26.0";"    13.3";"    24.7";"    54.9";"     0.9";"     0.5";"     1.5"
"1485";"WK0363KH  ";"Amsterdam                               ";"WK0363KH  ";"     5.1";"    22.7";"     5.2";"    16.8";"    39.7";"     0.4";"     0.8";"     1.6"
"1486";"BU0363KH01";"Amsterdam                               ";"BU0363KH01";"     8.3";"    38.0";"     8.8";"    20.7";"    68.5";"     0.3";"     0.3";"     1.9"
"1487";"BU0363KH02";"Amsterdam                               ";"BU0363KH02";"     4.1";"    16.6";"     4.9";"    13.5";"    30.5";"     0.8";"     1.0";"     2.0"
"1488";"BU0363KH03";"Amsterdam                               ";"BU0363KH03";"     6.5";"    30.1";"     6.8";"    21.4";"    56.3";"     0.3";"     0.7";"     1.6"
"1489";"BU0363KH04";"Amsterdam                               ";"BU0363KH04";"     6.2";"    26.1";"     6.1";"    18.6";"    48.1";"     0.3";"     0.7";"     1.5"
"1490";"BU0363KH05";"Amsterdam                               ";"BU0363KH05";"     4.3";"    19.1";"     3.6";"    15.8";"    29.1";"     0.3";"     0.8";"     1.3"
"1491";"BU0363KH06";"Amsterdam                               ";"BU0363KH06";"     0.0";"     1.0";"     1.1";"     2.7";"     1.7";"     1.1";"     1.1";"     2.4"
"1492";"WK0363KJ  ";"Amsterdam                               ";"WK0363KJ  ";"     4.3";"    25.2";"     1.9";"    11.9";"    25.1";"     0.6";"     0.4";"     1.5"
"1493";"BU0363KJ01";"Amsterdam                               ";"BU0363KJ01";"     2.9";"    20.1";"     0.5";"     9.8";"    21.3";"     0.7";"     0.5";"     2.0"
"1494";"BU0363KJ02";"Amsterdam                               ";"BU0363KJ02";"     4.2";"    29.7";"     1.7";"    13.5";"    28.2";"     0.5";"     0.3";"     1.7"
"1495";"BU0363KJ03";"Amsterdam                               ";"BU0363KJ03";"     4.2";"    26.5";"     1.1";"    12.4";"    21.3";"     0.5";"     0.4";"     1.6"
"1496";"BU0363KJ04";"Amsterdam                               ";"BU0363KJ04";"     4.4";"    24.1";"     1.7";"    12.2";"    21.3";"     0.7";"     0.6";"     1.2"
"1497";"BU0363KJ05";"Amsterdam                               ";"BU0363KJ05";"     4.4";"    22.5";"     4.4";"    10.4";"    31.5";"     0.4";"     0.2";"     1.6"
"1498";"BU0363KJ06";"Amsterdam                               ";"BU0363KJ06";"     4.4";"    21.7";"     2.0";"     9.3";"    33.5";"     0.7";"     0.3";"     1.4"
"1499";"WK0363KK  ";"Amsterdam                               ";"WK0363KK  ";"     6.5";"    29.2";"     5.1";"    12.8";"    49.0";"     0.5";"     0.8";"     1.2"
"1500";"BU0363KK01";"Amsterdam                               ";"BU0363KK01";"     5.7";"    30.5";"     4.8";"    10.5";"    54.6";"     0.7";"     0.7";"     1.3"
"1501";"BU0363KK02";"Amsterdam                               ";"BU0363KK02";"     6.1";"    30.9";"     4.8";"    12.4";"    55.8";"     0.4";"     1.0";"     1.1"
"1502";"BU0363KK03";"Amsterdam                               ";"BU0363KK03";"     9.1";"    38.0";"     6.9";"    18.2";"    61.0";"     0.5";"     1.1";"     1.3"
"1503";"BU0363KK04";"Amsterdam                               ";"BU0363KK04";"     8.9";"    36.9";"     8.0";"    18.9";"    50.7";"     0.3";"     0.8";"     1.4"
"1504";"BU0363KK05";"Amsterdam                               ";"BU0363KK05";"     2.5";"     7.2";"     1.1";"     4.2";"    12.9";"     0.7";"     0.3";"     1.1"
"1505";"BU0363KK06";"Amsterdam                               ";"BU0363KK06";"     1.3";"     1.7";"     0.0";"     1.9";"    10.5";"     1.0";"     0.5";"     0.8"
"1506";"WK0363KL  ";"Amsterdam                               ";"WK0363KL  ";"     7.3";"    27.7";"     7.5";"    17.1";"    42.7";"     0.8";"     0.9";"     1.4"
"1507";"BU0363KL01";"Amsterdam                               ";"BU0363KL01";"     8.8";"    38.4";"     9.5";"    19.4";"    56.2";"     0.8";"     1.0";"     1.6"
"1508";"BU0363KL02";"Amsterdam                               ";"BU0363KL02";"     6.1";"    18.9";"     5.9";"    15.2";"    31.6";"     0.8";"     0.9";"     1.1"
"1509";"WK0363KM  ";"Amsterdam                               ";"WK0363KM  ";"     5.6";"    18.5";"     3.9";"    10.5";"    27.8";"     0.5";"     0.6";"     1.4"
"1510";"BU0363KM01";"Amsterdam                               ";"BU0363KM01";"     6.2";"    19.0";"     5.6";"    14.2";"    30.4";"     0.5";"     0.5";"     1.2"
"1511";"BU0363KM02";"Amsterdam                               ";"BU0363KM02";"     5.0";"    25.4";"     2.8";"     8.6";"    34.0";"     0.3";"     1.0";"     1.1"
"1512";"BU0363KM03";"Amsterdam                               ";"BU0363KM03";"     5.9";"    19.4";"     4.1";"    10.3";"    27.2";"     0.4";"     0.7";"     1.4"
"1513";"BU0363KM04";"Amsterdam                               ";"BU0363KM04";"     5.2";"    13.6";"     3.1";"     8.7";"    22.9";"     0.6";"     0.3";"     1.5"
"1514";"BU0363KM05";"Amsterdam                               ";"BU0363KM05";"     0.0";"     0.0";"     0.0";"     0.0";"     1.2";"     1.4";"     1.3";"     1.9"
"1515";"WK0363KN  ";"Amsterdam                               ";"WK0363KN  ";"     2.1";"    14.3";"     1.3";"     9.4";"    19.5";"     0.9";"     0.4";"     0.9"
"1516";"BU0363KN01";"Amsterdam                               ";"BU0363KN01";"     2.1";"    14.3";"     1.3";"     9.4";"    19.5";"     0.9";"     0.4";"     0.9"
"1517";"BU0363KN02";"Amsterdam                               ";"BU0363KN02";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1518";"WK0363KP  ";"Amsterdam                               ";"WK0363KP  ";"     2.3";"     5.0";"     1.1";"    11.1";"    17.1";"     0.7";"     0.9";"     1.1"
"1519";"BU0363KP01";"Amsterdam                               ";"BU0363KP01";"     0.7";"     4.3";"     1.6";"     6.3";"    13.0";"     0.6";"     0.3";"     1.5"
"1520";"BU0363KP02";"Amsterdam                               ";"BU0363KP02";"     2.0";"     5.0";"     0.0";"     4.0";"    23.0";"     1.1";"     1.1";"     0.1"
"1521";"BU0363KP03";"Amsterdam                               ";"BU0363KP03";"     2.0";"     2.4";"     1.5";"     6.6";"    11.0";"     1.3";"     1.3";"     1.7"
"1522";"BU0363KP04";"Amsterdam                               ";"BU0363KP04";"     3.2";"     6.8";"     1.0";"    15.2";"    22.6";"     1.0";"     0.9";"     1.1"
"1523";"BU0363KP05";"Amsterdam                               ";"BU0363KP05";"     1.4";"     2.7";"     1.0";"     7.3";"    11.1";"     0.4";"     1.2";"     0.8"
"1524";"WK0363KQ  ";"Amsterdam                               ";"WK0363KQ  ";"     4.0";"    16.9";"     1.3";"     5.4";"    14.1";"     0.7";"     0.7";"     2.1"
"1525";"BU0363KQ01";"Amsterdam                               ";"BU0363KQ01";"     0.0";"     0.0";"     0.0";"     0.0";"     0.4";"     2.4";"     2.4";"     3.3"
"1526";"BU0363KQ02";"Amsterdam                               ";"BU0363KQ02";"     1.9";"     3.8";"     2.8";"     6.3";"    10.0";"     0.9";"     0.9";"     2.1"
"1527";"BU0363KQ03";"Amsterdam                               ";"BU0363KQ03";"     3.0";"    13.3";"     1.4";"     4.2";"     9.6";"     1.1";"     1.1";"     1.9"
"1528";"BU0363KQ04";"Amsterdam                               ";"BU0363KQ04";"     5.5";"    23.4";"     1.4";"     9.6";"    18.0";"     0.5";"     1.0";"     1.6"
"1529";"BU0363KQ05";"Amsterdam                               ";"BU0363KQ05";"     2.7";"    10.0";"     1.8";"     2.4";"     9.8";"     1.0";"     0.5";"     2.5"
"1530";"BU0363KQ06";"Amsterdam                               ";"BU0363KQ06";"     3.9";"    18.2";"     0.4";"     3.9";"    15.6";"     0.5";"     0.3";"     2.2"
"1531";"WK0363KR  ";"Amsterdam                               ";"WK0363KR  ";"     4.1";"    15.0";"     0.1";"     4.6";"    12.5";"     0.5";"     0.7";"     1.5"
"1532";"BU0363KR01";"Amsterdam                               ";"BU0363KR01";"     3.7";"    13.2";"     0.6";"     6.5";"    12.3";"     0.5";"     1.2";"     1.2"
"1533";"BU0363KR02";"Amsterdam                               ";"BU0363KR02";"     5.2";"    18.8";"     0.0";"     5.1";"    10.4";"     0.6";"     1.0";"     1.1"
"1534";"BU0363KR03";"Amsterdam                               ";"BU0363KR03";"     3.2";"    12.1";"     0.0";"     3.7";"    14.3";"     0.4";"     0.3";"     1.8"
"1535";"BU0363KR04";"Amsterdam                               ";"BU0363KR04";"     0.2";"     0.2";"     0.0";"     3.5";"     1.1";"     1.7";"     1.7";"     2.7"
"1536";"WK0363MA  ";"Amsterdam                               ";"WK0363MA  ";"     0.9";"     4.5";"     1.6";"     3.0";"     7.0";"     0.6";"     1.2";"     2.4"
"1537";"BU0363MA01";"Amsterdam                               ";"BU0363MA01";"     0.2";"     2.1";"     0.2";"     2.0";"     5.4";"     0.5";"     1.3";"     2.4"
"1538";"BU0363MA02";"Amsterdam                               ";"BU0363MA02";"     0.0";"     1.9";"     0.0";"     1.0";"     5.8";"     1.3";"     1.4";"     3.4"
"1539";"BU0363MA03";"Amsterdam                               ";"BU0363MA03";"     0.7";"     0.8";"     2.8";"     3.5";"     5.7";"     0.6";"     1.4";"     1.8"
"1540";"BU0363MA04";"Amsterdam                               ";"BU0363MA04";"     2.8";"     9.9";"     2.9";"     5.4";"    10.2";"     0.5";"     0.5";"     2.2"
"1541";"BU0363MA05";"Amsterdam                               ";"BU0363MA05";"     2.0";"     6.5";"     0.8";"     3.5";"     6.8";"     0.3";"     0.6";"     2.6"
"1542";"BU0363MA06";"Amsterdam                               ";"BU0363MA06";"     0.5";"     4.4";"     0.6";"     2.2";"     5.6";"     0.5";"     1.0";"     2.5"
"1543";"BU0363MA07";"Amsterdam                               ";"BU0363MA07";"     1.4";"    12.7";"     6.1";"     6.9";"    17.8";"     0.9";"     0.8";"     1.9"
"1544";"BU0363MA08";"Amsterdam                               ";"BU0363MA08";"     1.9";"    11.2";"     6.7";"     6.2";"    18.2";"     1.1";"     1.1";"     1.7"
"1545";"BU0363MA09";"Amsterdam                               ";"BU0363MA09";"     0.3";"     1.3";"     2.2";"     1.7";"     3.7";"     0.6";"     1.6";"     2.2"
"1546";"BU0363MA10";"Amsterdam                               ";"BU0363MA10";"     0.0";"     0.1";"     1.2";"     1.1";"     2.2";"     0.4";"     1.9";"     2.5"
"1547";"BU0363MA11";"Amsterdam                               ";"BU0363MA11";"     6.2";"    26.5";"    11.7";"    16.6";"    38.0";"     0.7";"     1.0";"     1.6"
"1548";"WK0363MB  ";"Amsterdam                               ";"WK0363MB  ";"     3.8";"    18.3";"     8.6";"    20.4";"    43.2";"     0.6";"     0.6";"     1.4"
"1549";"BU0363MB01";"Amsterdam                               ";"BU0363MB01";"     6.0";"    26.0";"    15.3";"    30.5";"    63.1";"     0.6";"     0.5";"     1.7"
"1550";"BU0363MB02";"Amsterdam                               ";"BU0363MB02";"     2.5";"    13.2";"     4.8";"    15.3";"    33.0";"     0.5";"     0.7";"     1.2"
"1551";"BU0363MB03";"Amsterdam                               ";"BU0363MB03";"     4.0";"    21.5";"     7.7";"    16.8";"    35.5";"     0.9";"     0.5";"     1.6"
"1552";"WK0363MC  ";"Amsterdam                               ";"WK0363MC  ";"     7.3";"    30.9";"    11.9";"    23.6";"    49.6";"     0.7";"     0.5";"     1.3"
"1553";"BU0363MC01";"Amsterdam                               ";"BU0363MC01";"     5.3";"    21.3";"    11.1";"    21.4";"    43.4";"     0.6";"     0.6";"     1.6"
"1554";"BU0363MC02";"Amsterdam                               ";"BU0363MC02";"     8.7";"    30.2";"    15.9";"    27.2";"    55.7";"     0.7";"     0.2";"     1.3"
"1555";"BU0363MC03";"Amsterdam                               ";"BU0363MC03";"     5.8";"    28.0";"    11.6";"    22.1";"    48.0";"     0.8";"     0.3";"     1.4"
"1556";"BU0363MC04";"Amsterdam                               ";"BU0363MC04";"    10.6";"    43.3";"    12.8";"    27.1";"    57.1";"     0.7";"     0.6";"     1.0"
"1557";"WK0363MD  ";"Amsterdam                               ";"WK0363MD  ";"     7.1";"    30.3";"     7.5";"    17.6";"    43.9";"     0.5";"     0.7";"     1.1"
"1558";"BU0363MD01";"Amsterdam                               ";"BU0363MD01";"     4.9";"    23.1";"     6.5";"    16.3";"    36.2";"     0.3";"     0.7";"     1.0"
"1559";"BU0363MD02";"Amsterdam                               ";"BU0363MD02";"     9.1";"    36.5";"     8.3";"    18.7";"    50.5";"     0.6";"     0.7";"     1.2"
"1560";"WK0363ME  ";"Amsterdam                               ";"WK0363ME  ";"    13.0";"    52.6";"    18.2";"    31.7";"    65.8";"     0.4";"     0.4";"     0.6"
"1561";"BU0363ME01";"Amsterdam                               ";"BU0363ME01";"    12.5";"    52.9";"    22.0";"    32.4";"    66.4";"     0.6";"     0.6";"     0.7"
"1562";"BU0363ME02";"Amsterdam                               ";"BU0363ME02";"    16.3";"    62.8";"    20.5";"    38.1";"    77.9";"     0.3";"     0.3";"     0.4"
"1563";"BU0363ME03";"Amsterdam                               ";"BU0363ME03";"     8.2";"    34.0";"     6.9";"    19.3";"    43.7";"     0.4";"     0.4";"     0.7"
"1564";"WK0363MF  ";"Amsterdam                               ";"WK0363MF  ";"    11.4";"    46.2";"    15.6";"    29.7";"    53.0";"     0.4";"     0.7";"     0.8"
"1565";"BU0363MF01";"Amsterdam                               ";"BU0363MF01";"    11.8";"    47.1";"    18.5";"    30.5";"    58.2";"     0.4";"     0.7";"     1.0"
"1566";"BU0363MF02";"Amsterdam                               ";"BU0363MF02";"    12.3";"    51.1";"    16.6";"    32.4";"    55.8";"     0.5";"     0.7";"     0.7"
"1567";"BU0363MF03";"Amsterdam                               ";"BU0363MF03";"    10.1";"    39.5";"    11.6";"    25.6";"    44.6";"     0.3";"     0.7";"     0.8"
"1568";"WK0363MG  ";"Amsterdam                               ";"WK0363MG  ";"     6.6";"    25.6";"     9.5";"    17.2";"    33.2";"     0.3";"     0.5";"     1.3"
"1569";"BU0363MG01";"Amsterdam                               ";"BU0363MG01";"     7.1";"    28.6";"    10.0";"    18.9";"    35.9";"     0.3";"     0.6";"     1.4"
"1570";"BU0363MG02";"Amsterdam                               ";"BU0363MG02";"     0.4";"     2.3";"     4.2";"     4.3";"     7.4";"     0.6";"     0.9";"     1.9"
"1571";"BU0363MG03";"Amsterdam                               ";"BU0363MG03";"     6.5";"    23.7";"     9.4";"    16.3";"    32.3";"     0.3";"     0.4";"     1.2"
"1572";"BU0363MG04";"Amsterdam                               ";"BU0363MG04";"     0.0";"     0.1";"     1.1";"     0.2";"     0.2";"     1.2";"     1.3";"     2.2"
"1573";"WK0363MH  ";"Amsterdam                               ";"WK0363MH  ";"     1.0";"     0.0";"     0.0";"     3.6";"     0.9";"     0.5";"     2.6";"     3.6"
"1574";"BU0363MH01";"Amsterdam                               ";"BU0363MH01";"     0.3";"     0.0";"     0.0";"     0.8";"     0.0";"     1.7";"     2.6";"     3.6"
"1575";"BU0363MH02";"Amsterdam                               ";"BU0363MH02";"     1.0";"     0.0";"     0.0";"     3.6";"     1.0";"     0.4";"     2.8";"     3.8"
"1576";"BU0363MH03";"Amsterdam                               ";"BU0363MH03";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1577";"BU0363MH04";"Amsterdam                               ";"BU0363MH04";"     0.8";"     0.0";"     0.0";"     3.6";"     1.2";"     1.1";"     1.9";"     2.9"
"1578";"BU0363MH05";"Amsterdam                               ";"BU0363MH05";"     1.0";"     0.0";"     0.0";"     4.0";"     0.3";"     1.1";"     2.1";"     3.1"
"1579";"BU0363MH06";"Amsterdam                               ";"BU0363MH06";"     0.0";"     0.0";"     0.0";"     0.1";"     1.2";"     2.2";"     2.3";"     3.5"
"1580";"WK0363MJ  ";"Amsterdam                               ";"WK0363MJ  ";"     2.1";"     6.8";"     0.0";"     2.2";"     8.3";"     0.3";"     1.6";"     5.8"
"1581";"BU0363MJ01";"Amsterdam                               ";"BU0363MJ01";"     0.5";"     1.8";"     0.0";"     0.4";"     3.0";"     0.5";"     2.5";"     5.1"
"1582";"BU0363MJ02";"Amsterdam                               ";"BU0363MJ02";"     0.1";"     0.9";"     0.0";"     0.3";"     3.1";"     0.4";"     2.4";"     5.1"
"1583";"BU0363MJ03";"Amsterdam                               ";"BU0363MJ03";"     2.5";"     8.4";"     0.0";"     2.5";"     8.4";"     0.3";"     1.3";"     6.3"
"1584";"BU0363MJ04";"Amsterdam                               ";"BU0363MJ04";"     3.0";"     8.5";"     0.0";"     2.1";"     8.2";"     0.2";"     1.7";"     5.7"
"1585";"BU0363MJ05";"Amsterdam                               ";"BU0363MJ05";"     3.0";"     9.7";"     0.0";"     3.8";"    12.7";"     0.3";"     1.1";"     6.3"
"1586";"WK0363MK  ";"Amsterdam                               ";"WK0363MK  ";"     1.9";"     3.4";"     0.0";"     2.5";"     5.9";"     0.8";"     1.0";"     5.7"
"1587";"BU0363MK01";"Amsterdam                               ";"BU0363MK01";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1588";"BU0363MK02";"Amsterdam                               ";"BU0363MK02";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1589";"BU0363MK03";"Amsterdam                               ";"BU0363MK03";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1590";"BU0363MK04";"Amsterdam                               ";"BU0363MK04";"     1.9";"     3.4";"     0.0";"     2.5";"     5.9";"     0.8";"     1.0";"     5.7"
"1591";"BU0363MK05";"Amsterdam                               ";"BU0363MK05";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1592";"WK0363ML  ";"Amsterdam                               ";"WK0363ML  ";"     1.7";"     5.3";"     0.0";"     3.2";"    11.5";"     0.4";"     0.6";"     6.1"
"1593";"BU0363ML01";"Amsterdam                               ";"BU0363ML01";"     2.0";"     7.4";"     0.0";"     4.0";"    15.5";"     0.3";"     0.4";"     6.4"
