"ID";"DistrictsAndNeighbourhoods";"MunicipalityName";"Encoding";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes"
"1301";"BU03636604";"Amsterdam                               ";"BU03636604";"     0.0";"     0.0";"     0.0";"     0.9";"     0.1";"     2.1";"     2.7";"     5.2"
"1302";"BU03636605";"Amsterdam                               ";"BU03636605";"     1.7";"     5.0";"     0.0";"     1.9";"     0.8";"     0.7";"     1.1";"     6.3"
"1303";"BU03636606";"Amsterdam                               ";"BU03636606";"     0.8";"     1.1";"     0.0";"     0.0";"     0.2";"     1.0";"     0.8";"     6.0"
"1304";"WK036367  ";"Amsterdam                               ";"WK036367  ";"     0.2";"     1.4";"     1.2";"     1.9";"     2.6";"     0.5";"     2.1";"     6.9"
"1305";"BU03636700";"Amsterdam                               ";"BU03636700";"     0.3";"     2.1";"     1.3";"     2.1";"     2.8";"     0.5";"     2.0";"     6.7"
"1306";"BU03636701";"Amsterdam                               ";"BU03636701";"     0.0";"     0.0";"     1.0";"     1.5";"     2.2";"     0.7";"     2.4";"     7.4"
"1307";"WK036368  ";"Amsterdam                               ";"WK036368  ";"     4.6";"    10.6";"     1.4";"     4.7";"     4.8";"     0.4";"     0.7";"     6.4"
"1308";"BU03636800";"Amsterdam                               ";"BU03636800";"     1.5";"     2.8";"     0.5";"     1.3";"     1.3";"     0.5";"     0.6";"     6.7"
"1309";"BU03636801";"Amsterdam                               ";"BU03636801";"     6.9";"    19.4";"     2.9";"     9.1";"     9.6";"     0.7";"     0.9";"     6.3"
"1310";"BU03636802";"Amsterdam                               ";"BU03636802";"     5.4";"    15.3";"     2.0";"     6.0";"     7.3";"     0.4";"     0.6";"     6.4"
"1311";"BU03636803";"Amsterdam                               ";"BU03636803";"     4.2";"     6.3";"     0.8";"     3.5";"     2.5";"     0.2";"     0.5";"     6.7"
"1312";"BU03636804";"Amsterdam                               ";"BU03636804";"     4.0";"     7.0";"     1.0";"     3.7";"     3.0";"     0.4";"     1.0";"     6.2"
"1313";"BU03636805";"Amsterdam                               ";"BU03636805";"     4.1";"    10.2";"     1.1";"     4.3";"     4.1";"     0.3";"     0.8";"     6.1"
"1314";"WK036369  ";"Amsterdam                               ";"WK036369  ";"     4.2";"     9.2";"     1.8";"     7.8";"     5.7";"     0.4";"     0.9";"     5.6"
"1315";"BU03636900";"Amsterdam                               ";"BU03636900";"     0.6";"     7.1";"     1.5";"     2.7";"     3.6";"     0.1";"     0.1";"     5.0"
"1316";"BU03636902";"Amsterdam                               ";"BU03636902";"     5.0";"    11.6";"     1.7";"    11.0";"     6.2";"     0.6";"     0.5";"     5.1"
"1317";"BU03636909";"Amsterdam                               ";"BU03636909";"     5.7";"    13.1";"     2.1";"     9.7";"     7.5";"     0.5";"     1.0";"     5.9"
"1318";"BU03636910";"Amsterdam                               ";"BU03636910";"     4.4";"    12.6";"     1.7";"     9.9";"     7.8";"     0.5";"     0.9";"     5.4"
"1319";"BU03636911";"Amsterdam                               ";"BU03636911";"     4.3";"     6.6";"     2.0";"     6.3";"     4.4";"     0.2";"     1.1";"     5.8"
"1320";"BU03636912";"Amsterdam                               ";"BU03636912";"     3.3";"     4.8";"     1.8";"     4.4";"     3.6";"     0.3";"     1.1";"     6.0"
"1321";"WK036370  ";"Amsterdam                               ";"WK036370  ";"     2.2";"     6.5";"     0.1";"     2.2";"     0.2";"     0.7";"     1.0";"     5.8"
"1322";"BU03637000";"Amsterdam                               ";"BU03637000";"     2.9";"     8.8";"     0.1";"     3.1";"     0.2";"     0.8";"     0.5";"     5.4"
"1323";"BU03637001";"Amsterdam                               ";"BU03637001";"     2.2";"     7.1";"     0.2";"     2.4";"     0.1";"     0.7";"     0.9";"     5.5"
"1324";"BU03637002";"Amsterdam                               ";"BU03637002";"     2.9";"     7.5";"     0.0";"     2.8";"     0.0";"     0.3";"     1.3";"     6.2"
"1325";"BU03637003";"Amsterdam                               ";"BU03637003";"     1.2";"     3.4";"     0.0";"     0.7";"     0.0";"     0.5";"     1.6";"     6.4"
"1326";"BU03637004";"Amsterdam                               ";"BU03637004";"     0.0";"     2.1";"     0.4";"     2.1";"     1.9";"     1.5";"     0.7";"     4.8"
"1327";"BU03637005";"Amsterdam                               ";"BU03637005";"     0.0";"     2.5";"     1.4";"     3.0";"     3.8";"     1.1";"     0.4";"     4.9"
"1328";"WK036371  ";"Amsterdam                               ";"WK036371  ";"     0.7";"     3.2";"     2.9";"     4.9";"    10.7";"     1.1";"     1.2";"     4.8"
"1329";"BU03637102";"Amsterdam                               ";"BU03637102";"     0.7";"     2.6";"     4.1";"     6.2";"     6.8";"     1.0";"     0.8";"     4.2"
"1330";"BU03637104";"Amsterdam                               ";"BU03637104";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1331";"BU03637105";"Amsterdam                               ";"BU03637105";"     0.0";"     1.0";"     2.0";"     3.0";"     7.7";"     1.4";"     1.9";"     5.6"
"1332";"BU03637106";"Amsterdam                               ";"BU03637106";"     2.5";"    11.2";"     6.1";"     9.1";"    21.2";"     0.3";"     1.1";"     3.9"
"1333";"BU03637107";"Amsterdam                               ";"BU03637107";"     1.0";"     4.2";"     2.2";"     5.1";"    14.9";"     1.0";"     0.6";"     4.4"
"1334";"WK036372  ";"Amsterdam                               ";"WK036372  ";"     3.6";"    14.4";"     6.4";"     9.4";"    15.4";"     0.6";"     0.7";"     4.6"
"1335";"BU03637200";"Amsterdam                               ";"BU03637200";"     4.0";"    15.6";"     7.0";"    10.2";"    16.8";"     0.5";"     0.6";"     4.5"
"1336";"BU03637201";"Amsterdam                               ";"BU03637201";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1337";"BU03637202";"Amsterdam                               ";"BU03637202";"     0.0";"     1.3";"     0.2";"     0.2";"     0.8";"     1.3";"     1.9";"     6.4"
"1338";"WK036373  ";"Amsterdam                               ";"WK036373  ";"     0.3";"     0.0";"     0.0";"     0.0";"     0.4";"     2.0";"     3.4";"     7.0"
"1339";"BU03637300";"Amsterdam                               ";"BU03637300";"     1.0";"     0.1";"     0.0";"     0.0";"     1.0";"     2.1";"     2.5";"     5.3"
"1340";"BU03637301";"Amsterdam                               ";"BU03637301";"     0.9";"     0.0";"     0.0";"     0.0";"     0.9";"     1.9";"     2.2";"     5.1"
"1341";"BU03637302";"Amsterdam                               ";"BU03637302";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1342";"BU03637303";"Amsterdam                               ";"BU03637303";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     2.5";"     3.8";"     6.6"
"1343";"BU03637304";"Amsterdam                               ";"BU03637304";"     0.1";"     0.0";"     0.0";"     0.0";"     0.1";"     1.4";"     2.7";"     5.6"
"1344";"BU03637305";"Amsterdam                               ";"BU03637305";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     0.3";"     4.0";"     6.7"
"1345";"BU03637306";"Amsterdam                               ";"BU03637306";"     0.0";"     0.0";"     0.0";"     0.0";"     0.6";"     3.2";"     6.9";"    10.2"
"1346";"BU03637307";"Amsterdam                               ";"BU03637307";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     2.1";"     2.4";"     8.6"
"1347";"BU03637308";"Amsterdam                               ";"BU03637308";"     0.0";"     0.0";"     0.0";"     0.0";"     1.0";"     2.1";"     2.7";"     7.4"
"1348";"BU03637309";"Amsterdam                               ";"BU03637309";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1349";"WK036374  ";"Amsterdam                               ";"WK036374  ";"     1.3";"     1.9";"     0.2";"     2.7";"     0.8";"     0.5";"     0.8";"     6.0"
"1350";"BU03637400";"Amsterdam                               ";"BU03637400";"     0.0";"     1.0";"     0.5";"     0.4";"     2.3";"     0.7";"     0.7";"     4.5"
"1351";"BU03637401";"Amsterdam                               ";"BU03637401";"     3.1";"     4.7";"     0.9";"     6.0";"     3.2";"     0.9";"     0.4";"     5.4"
"1352";"BU03637402";"Amsterdam                               ";"BU03637402";"     0.8";"     1.0";"     0.0";"     1.7";"     0.0";"     0.4";"     0.9";"     6.2"
"1353";"WK036375  ";"Amsterdam                               ";"WK036375  ";"     9.6";"    69.4";"    47.7";"    59.2";"    87.3";"     0.2";"     1.2";"     2.9"
"1354";"BU03637500";"Amsterdam                               ";"BU03637500";"     9.3";"    67.3";"    47.5";"    58.3";"    82.2";"     0.2";"     1.0";"     3.0"
"1355";"BU03637501";"Amsterdam                               ";"BU03637501";"     7.3";"    64.1";"    48.3";"    54.5";"    70.3";"     0.2";"     1.1";"     3.0"
"1356";"BU03637502";"Amsterdam                               ";"BU03637502";"    10.8";"    70.7";"    45.9";"    60.3";"    96.4";"     0.3";"     1.3";"     2.7"
"1357";"BU03637503";"Amsterdam                               ";"BU03637503";"    10.8";"    77.4";"    50.4";"    64.5";"   100.5";"     0.4";"     1.4";"     2.6"
"1358";"WK036376  ";"Amsterdam                               ";"WK036376  ";"     5.2";"    17.6";"     3.0";"    12.2";"    10.9";"     0.3";"     1.2";"     2.5"
"1359";"BU03637600";"Amsterdam                               ";"BU03637600";"     4.7";"    16.1";"     2.7";"    11.6";"    10.0";"     0.3";"     1.2";"     2.5"
"1360";"BU03637601";"Amsterdam                               ";"BU03637601";"     6.1";"    20.9";"     3.7";"    13.5";"    12.6";"     0.5";"     1.1";"     2.7"
"1361";"WK036377  ";"Amsterdam                               ";"WK036377  ";"     4.9";"    15.7";"     3.6";"     8.9";"    10.4";"     0.5";"     0.6";"     2.7"
"1362";"BU03637700";"Amsterdam                               ";"BU03637700";"     4.5";"    15.5";"     3.6";"    10.9";"    10.6";"     0.4";"     0.6";"     2.6"
"1363";"BU03637701";"Amsterdam                               ";"BU03637701";"     2.6";"     8.0";"     2.3";"     4.6";"     5.7";"     0.8";"     0.6";"     2.5"
"1364";"BU03637702";"Amsterdam                               ";"BU03637702";"     6.6";"    16.9";"     3.6";"    12.4";"    13.0";"     0.3";"     0.6";"     2.2"
"1365";"BU03637703";"Amsterdam                               ";"BU03637703";"     6.8";"    21.5";"     4.8";"    10.4";"    12.8";"     0.4";"     0.5";"     2.8"
"1366";"BU03637704";"Amsterdam                               ";"BU03637704";"     3.0";"    15.0";"     3.0";"     7.0";"     8.0";"     1.0";"     1.0";"     2.9"
"1367";"BU03637705";"Amsterdam                               ";"BU03637705";"     4.0";"    16.1";"     3.6";"     6.3";"     9.5";"     0.6";"     1.0";"     3.2"
"1368";"WK036378  ";"Amsterdam                               ";"WK036378  ";"     4.5";"    12.5";"     2.9";"     4.0";"     3.5";"     0.3";"     1.6";"     3.4"
"1369";"BU03637800";"Amsterdam                               ";"BU03637800";"     5.2";"    17.6";"     3.1";"     4.3";"     5.3";"     0.3";"     1.5";"     3.6"
"1370";"BU03637801";"Amsterdam                               ";"BU03637801";"     4.8";"    11.8";"     2.4";"     2.9";"     1.4";"     0.2";"     1.9";"     4.0"
"1371";"BU03637802";"Amsterdam                               ";"BU03637802";"     5.2";"    15.8";"     3.8";"     5.3";"     5.6";"     0.2";"     1.4";"     3.3"
"1372";"BU03637803";"Amsterdam                               ";"BU03637803";"     3.7";"     8.3";"     2.5";"     3.6";"     2.3";"     0.3";"     1.7";"     3.1"
"1373";"BU03637804";"Amsterdam                               ";"BU03637804";"     2.4";"     5.3";"     2.3";"     1.7";"     2.1";"     0.6";"     1.3";"     2.5"
"1374";"WK036379  ";"Amsterdam                               ";"WK036379  ";"     2.5";"     4.2";"     1.4";"     2.2";"     0.5";"     0.8";"     2.4";"     3.9"
"1375";"BU03637900";"Amsterdam                               ";"BU03637900";"     0.1";"     0.2";"     0.7";"     0.9";"     0.2";"     1.1";"     4.0";"     3.2"
"1376";"BU03637901";"Amsterdam                               ";"BU03637901";"     2.5";"     4.2";"     1.4";"     2.2";"     0.5";"     0.8";"     2.4";"     3.9"
"1377";"WK036380  ";"Amsterdam                               ";"WK036380  ";"     0.7";"     2.9";"     0.5";"     1.1";"     0.9";"     1.0";"     2.8";"     3.9"
"1378";"BU03638000";"Amsterdam                               ";"BU03638000";"     1.9";"     6.8";"     1.0";"     1.0";"     1.0";"     0.4";"     2.2";"     3.7"
"1379";"BU03638001";"Amsterdam                               ";"BU03638001";"     0.3";"     1.5";"     0.3";"     1.2";"     0.9";"     1.2";"     3.1";"     3.9"
"1380";"BU03638002";"Amsterdam                               ";"BU03638002";"     0.1";"     0.2";"     0.2";"     1.2";"     0.3";"     2.0";"     2.9";"     5.4"
"1381";"WK036381  ";"Amsterdam                               ";"WK036381  ";"     3.9";"    20.8";"     2.6";"    12.4";"    13.4";"     0.5";"     1.1";"     2.5"
"1382";"BU03638100";"Amsterdam                               ";"BU03638100";"     3.9";"    24.6";"     2.7";"    10.1";"    13.3";"     0.4";"     1.6";"     3.0"
"1383";"BU03638101";"Amsterdam                               ";"BU03638101";"     2.5";"    17.9";"     2.8";"     7.4";"    11.2";"     0.8";"     1.7";"     2.8"
"1384";"BU03638102";"Amsterdam                               ";"BU03638102";"     7.1";"    35.1";"     3.0";"    22.3";"    20.8";"     0.6";"     0.9";"     2.4"
"1385";"BU03638103";"Amsterdam                               ";"BU03638103";"     4.7";"    19.5";"     2.2";"    17.1";"    15.4";"     0.4";"     0.5";"     2.3"
"1386";"BU03638104";"Amsterdam                               ";"BU03638104";"     2.0";"     7.0";"     2.3";"     9.6";"     8.6";"     0.4";"     0.5";"     1.9"
"1387";"WK036382  ";"Amsterdam                               ";"WK036382  ";"     5.2";"    21.7";"     1.9";"    13.3";"    12.6";"     0.3";"     1.0";"     3.1"
"1388";"BU03638200";"Amsterdam                               ";"BU03638200";"     3.2";"    18.8";"     2.3";"     9.7";"     8.4";"     0.2";"     1.7";"     3.6"
"1389";"BU03638201";"Amsterdam                               ";"BU03638201";"     6.9";"    30.0";"     3.2";"    18.4";"    13.9";"     0.4";"     1.4";"     3.2"
"1390";"BU03638202";"Amsterdam                               ";"BU03638202";"     7.3";"    28.7";"     2.4";"    18.9";"    17.0";"     0.3";"     1.0";"     3.1"
"1391";"BU03638203";"Amsterdam                               ";"BU03638203";"     4.1";"    14.9";"     0.7";"     9.2";"    11.6";"     0.4";"     0.4";"     2.9"
"1392";"WK036383  ";"Amsterdam                               ";"WK036383  ";"     2.8";"     8.7";"     2.1";"    11.1";"     6.3";"     0.4";"     1.5";"     3.8"
"1393";"BU03638300";"Amsterdam                               ";"BU03638300";"     2.8";"     8.9";"     2.1";"    11.2";"     6.3";"     0.3";"     1.5";"     3.8"
"1394";"BU03638301";"Amsterdam                               ";"BU03638301";"     1.0";"     2.0";"     2.0";"     7.0";"     3.0";"     0.6";"     2.0";"     4.3"
"1395";"WK036384  ";"Amsterdam                               ";"WK036384  ";"     1.2";"     5.1";"     0.6";"     2.8";"     2.4";"     0.6";"     1.4";"     4.1"
"1396";"BU03638400";"Amsterdam                               ";"BU03638400";"     1.5";"     4.9";"     1.9";"     5.2";"     2.6";"     0.6";"     1.6";"     4.2"
"1397";"BU03638401";"Amsterdam                               ";"BU03638401";"     0.6";"     2.8";"     0.3";"     1.2";"     0.7";"     1.0";"     1.7";"     4.4"
"1398";"BU03638402";"Amsterdam                               ";"BU03638402";"     1.4";"     7.1";"     0.1";"     2.5";"     3.7";"     0.4";"     0.9";"     3.7"
"1399";"WK036385  ";"Amsterdam                               ";"WK036385  ";"     3.4";"    15.5";"     3.3";"     9.3";"    13.2";"     0.5";"     0.6";"     1.2"
"1400";"BU03638500";"Amsterdam                               ";"BU03638500";"     2.5";"     9.0";"     2.7";"     6.0";"     8.6";"     0.8";"     0.8";"     1.6"
"1401";"BU03638501";"Amsterdam                               ";"BU03638501";"     3.0";"    17.0";"     2.9";"     9.4";"    14.2";"     0.3";"     0.4";"     0.9"
"1402";"BU03638502";"Amsterdam                               ";"BU03638502";"     4.3";"    19.3";"     3.9";"    11.8";"    16.0";"     0.3";"     0.6";"     1.0"
"1403";"WK036386  ";"Amsterdam                               ";"WK036386  ";"     3.3";"    12.8";"     3.8";"    10.3";"     8.3";"     0.4";"     0.7";"     1.5"
"1404";"BU03638600";"Amsterdam                               ";"BU03638600";"     3.6";"    11.2";"     3.1";"     9.0";"     6.3";"     0.3";"     1.0";"     1.7"
"1405";"BU03638601";"Amsterdam                               ";"BU03638601";"     3.2";"    13.1";"     2.6";"     9.2";"     8.6";"     0.3";"     0.4";"     1.1"
"1406";"BU03638602";"Amsterdam                               ";"BU03638602";"     3.9";"    24.9";"    11.5";"    21.9";"    17.3";"     0.7";"     1.1";"     1.8"
"1407";"BU03638603";"Amsterdam                               ";"BU03638603";"     3.8";"    15.8";"     2.6";"    12.1";"     8.5";"     0.2";"     0.5";"     1.1"
"1408";"BU03638604";"Amsterdam                               ";"BU03638604";"     3.3";"    14.1";"     3.0";"    10.6";"    12.2";"     0.5";"     0.3";"     0.9"
"1409";"BU03638605";"Amsterdam                               ";"BU03638605";"     1.2";"     6.6";"     6.9";"     9.7";"     8.0";"     0.7";"     0.5";"     2.4"
"1410";"WK036387  ";"Amsterdam                               ";"WK036387  ";"     2.3";"    10.6";"     3.5";"    10.3";"    15.3";"     0.6";"     0.9";"     1.5"
"1411";"BU03638700";"Amsterdam                               ";"BU03638700";"     1.7";"    10.5";"     2.0";"     9.7";"    14.0";"     0.8";"     0.7";"     1.2"
"1412";"BU03638701";"Amsterdam                               ";"BU03638701";"     2.6";"     9.9";"     6.9";"     7.4";"    23.0";"     0.7";"     0.7";"     1.0"
"1413";"BU03638702";"Amsterdam                               ";"BU03638702";"     3.7";"    15.1";"     5.9";"    15.3";"    24.2";"     0.5";"     0.8";"     1.9"
"1414";"BU03638703";"Amsterdam                               ";"BU03638703";"     2.1";"     8.5";"     3.3";"    10.2";"    12.5";"     0.3";"     1.1";"     1.8"
"1415";"BU03638704";"Amsterdam                               ";"BU03638704";"     0.8";"     2.0";"     0.0";"     2.0";"     1.3";"     0.9";"     1.5";"     2.5"
"1416";"BU03638705";"Amsterdam                               ";"BU03638705";"     3.0";"    16.9";"     2.7";"    12.2";"    13.6";"     1.0";"     0.4";"     1.0"
"1417";"WK036388  ";"Amsterdam                               ";"WK036388  ";"     1.3";"     3.1";"     0.1";"     1.6";"     2.2";"     0.6";"     0.8";"     2.9"
"1418";"BU03638800";"Amsterdam                               ";"BU03638800";"     0.0";"     0.0";"     0.0";"     1.3";"     1.6";"     1.4";"     1.6";"     2.6"
"1419";"BU03638801";"Amsterdam                               ";"BU03638801";"     0.0";"     0.0";"     0.0";"     1.0";"     1.5";"     1.2";"     1.4";"     2.5"
"1420";"BU03638802";"Amsterdam                               ";"BU03638802";"     0.0";"     0.0";"     0.0";"     0.0";"     1.1";"     2.1";"     1.9";"     4.5"
"1421";"BU03638803";"Amsterdam                               ";"BU03638803";"     0.8";"     2.4";"     0.1";"     1.7";"     3.0";"     1.1";"     0.8";"     3.5"
"1422";"BU03638804";"Amsterdam                               ";"BU03638804";"     1.7";"     3.7";"     0.0";"     2.0";"     2.0";"     0.3";"     0.9";"     3.0"
"1423";"BU03638805";"Amsterdam                               ";"BU03638805";"     1.0";"     3.0";"     0.1";"     0.9";"     1.4";"     0.4";"     1.0";"     2.4"
"1424";"BU03638806";"Amsterdam                               ";"BU03638806";"     2.0";"     4.0";"     0.0";"     2.0";"     2.3";"     0.5";"     0.4";"     2.9"
"1425";"BU03638807";"Amsterdam                               ";"BU03638807";"     1.7";"     3.4";"     0.0";"     1.8";"     2.0";"     0.8";"     0.5";"     3.4"
"1426";"BU03638808";"Amsterdam                               ";"BU03638808";"     1.9";"     4.0";"     0.0";"     2.1";"     2.9";"     0.4";"     0.5";"     2.6"
"1427";"BU03638809";"Amsterdam                               ";"BU03638809";"     0.0";"     1.3";"     1.0";"     2.2";"     4.9";"     0.8";"     1.1";"     4.1"
"1428";"WK036389  ";"Amsterdam                               ";"WK036389  ";"     2.4";"    14.9";"     2.7";"    11.0";"    11.2";"     0.5";"     0.7";"     1.3"
"1429";"BU03638900";"Amsterdam                               ";"BU03638900";"     3.0";"    18.3";"     3.4";"    13.2";"    14.1";"     0.3";"     0.7";"     1.0"
"1430";"BU03638901";"Amsterdam                               ";"BU03638901";"     3.3";"    19.5";"     3.1";"    13.4";"    14.0";"     0.7";"     0.3";"     1.0"
"1431";"BU03638902";"Amsterdam                               ";"BU03638902";"     1.4";"     8.9";"     2.1";"     7.7";"     6.8";"     0.3";"     1.0";"     1.6"
"1432";"BU03638903";"Amsterdam                               ";"BU03638903";"     0.0";"     3.1";"     0.7";"     4.3";"     4.7";"     0.7";"     1.2";"     1.8"
"1433";"WK036390  ";"Amsterdam                               ";"WK036390  ";"     3.8";"    16.6";"     1.2";"     9.7";"    15.7";"     0.6";"     0.7";"     2.0"
"1434";"BU03639000";"Amsterdam                               ";"BU03639000";"     6.2";"    21.1";"     1.0";"    18.4";"    22.5";"     0.5";"     1.0";"     1.4"
"1435";"BU03639002";"Amsterdam                               ";"BU03639002";"     3.1";"    20.1";"     0.5";"     6.4";"    15.6";"     0.3";"     0.3";"     2.1"
"1436";"BU03639003";"Amsterdam                               ";"BU03639003";"     1.9";"     9.8";"     2.4";"     3.3";"     9.3";"     0.8";"     0.5";"     2.5"
"1437";"BU03639004";"Amsterdam                               ";"BU03639004";"     0.0";"     0.1";"     0.0";"     0.1";"     0.5";"     1.9";"     1.9";"     3.2"
"1438";"BU03639008";"Amsterdam                               ";"BU03639008";"     3.2";"    12.4";"     0.7";"     9.8";"    11.5";"     1.1";"     1.0";"     1.9"
"1439";"BU03639009";"Amsterdam                               ";"BU03639009";"     1.7";"     4.4";"     1.7";"     8.7";"     9.8";"     0.8";"     0.8";"     2.0"
"1440";"WK036391  ";"Amsterdam                               ";"WK036391  ";"     4.0";"    14.4";"     0.1";"     7.7";"    13.8";"     0.5";"     0.7";"     1.4"
"1441";"BU03639100";"Amsterdam                               ";"BU03639100";"     4.4";"    13.1";"     0.0";"     8.7";"    13.7";"     0.5";"     1.3";"     1.1"
"1442";"BU03639101";"Amsterdam                               ";"BU03639101";"     4.8";"    16.8";"     0.1";"     9.8";"    12.7";"     0.6";"     1.0";"     1.0"
"1443";"BU03639102";"Amsterdam                               ";"BU03639102";"     3.3";"    12.7";"     0.0";"     5.8";"    14.7";"     0.3";"     0.3";"     1.7"
"1444";"BU03639103";"Amsterdam                               ";"BU03639103";"     0.2";"     0.3";"     0.0";"     4.2";"     1.3";"     1.4";"     1.4";"     2.4"
"1445";"WK036392  ";"Amsterdam                               ";"WK036392  ";"     0.0";"     1.3";"     0.1";"     6.2";"     4.7";"     1.4";"     2.3";"     0.9"
"1446";"BU03639200";"Amsterdam                               ";"BU03639200";"     0.0";"     0.8";"     1.1";"     8.7";"     7.9";"     2.0";"     2.5";"     1.4"
"1447";"BU03639201";"Amsterdam                               ";"BU03639201";"     0.0";"     1.5";"     0.6";"     7.1";"     7.9";"     1.5";"     2.5";"     1.4"
"1448";"BU03639202";"Amsterdam                               ";"BU03639202";"     0.0";"     0.0";"     0.9";"     6.7";"     6.8";"     2.3";"     2.8";"     1.8"
"1449";"BU03639203";"Amsterdam                               ";"BU03639203";"     0.0";"     1.8";"     0.0";"     7.3";"     5.2";"     1.1";"     2.1";"     0.6"
"1450";"BU03639204";"Amsterdam                               ";"BU03639204";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1451";"BU03639205";"Amsterdam                               ";"BU03639205";"     0.0";"     0.5";"     0.0";"     3.1";"     2.7";"     1.7";"     2.3";"     1.6"
"1452";"BU03639206";"Amsterdam                               ";"BU03639206";"     0.0";"     0.0";"     0.0";"     2.3";"     1.4";"     1.9";"     3.0";"     1.5"
"1453";"WK036393  ";"Amsterdam                               ";"WK036393  ";"     1.0";"     5.8";"     0.4";"     7.1";"     6.4";"     0.7";"     1.2";"     1.2"
"1454";"BU03639300";"Amsterdam                               ";"BU03639300";"     0.8";"     3.3";"     0.6";"     3.2";"     5.9";"     0.8";"     0.8";"     1.1"
"1455";"BU03639301";"Amsterdam                               ";"BU03639301";"     1.0";"     4.6";"     0.2";"     5.3";"     5.8";"     0.4";"     0.5";"     0.9"
"1456";"BU03639302";"Amsterdam                               ";"BU03639302";"     0.4";"     2.5";"     1.0";"    22.3";"     4.8";"     0.5";"     0.8";"     1.5"
"1457";"BU03639303";"Amsterdam                               ";"BU03639303";"     1.0";"     2.8";"     0.4";"     1.3";"     4.5";"     0.4";"     0.9";"     1.0"
"1458";"BU03639304";"Amsterdam                               ";"BU03639304";"     1.7";"    15.2";"     0.4";"    15.1";"    11.1";"     1.3";"     1.9";"     1.3"
"1459";"BU03639305";"Amsterdam                               ";"BU03639305";"     1.9";"    20.4";"     1.0";"    21.8";"    18.9";"     0.9";"     1.9";"     1.0"
"1460";"BU03639306";"Amsterdam                               ";"BU03639306";"     1.4";"     9.9";"     0.3";"     9.9";"     7.7";"     0.8";"     1.8";"     1.5"
"1461";"BU03639307";"Amsterdam                               ";"BU03639307";"     0.0";"     0.4";"     0.0";"     0.2";"     1.6";"     0.7";"     2.3";"     1.7"
"1462";"BU03639308";"Amsterdam                               ";"BU03639308";"     0.0";"     0.0";"     0.0";"     0.0";"     1.0";"     0.6";"     2.2";"     1.7"
"1463";"BU03639309";"Amsterdam                               ";"BU03639309";"     1.0";"     2.0";"     0.0";"     0.0";"     1.2";"     0.7";"     0.7";"     1.2"
"1464";"BU03639310";"Amsterdam                               ";"BU03639310";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1465";"WK036394  ";"Amsterdam                               ";"WK036394  ";"     1.1";"     7.3";"     1.0";"     3.5";"     2.8";"     0.7";"     1.4";"     2.7"
"1466";"BU03639400";"Amsterdam                               ";"BU03639400";"     0.0";"     0.7";"     0.9";"    14.7";"     2.3";"     0.4";"     1.4";"     1.3"
"1467";"BU03639401";"Amsterdam                               ";"BU03639401";"     1.1";"     9.5";"     0.8";"     4.0";"     3.9";"     0.8";"     0.5";"     1.8"
"1468";"BU03639402";"Amsterdam                               ";"BU03639402";"     1.0";"     9.0";"     1.0";"     4.0";"     4.0";"     0.9";"     0.9";"     2.3"
"1469";"BU03639403";"Amsterdam                               ";"BU03639403";"     1.4";"    12.1";"     0.4";"     2.9";"     2.4";"     0.4";"     1.0";"     2.5"
"1470";"BU03639404";"Amsterdam                               ";"BU03639404";"     1.8";"     9.4";"     1.1";"     2.4";"     2.3";"     0.8";"     1.6";"     3.1"
"1471";"BU03639405";"Amsterdam                               ";"BU03639405";"     2.0";"    10.6";"     2.0";"     3.0";"     3.0";"     0.7";"     1.5";"     3.0"
"1472";"BU03639406";"Amsterdam                               ";"BU03639406";"     1.7";"     7.9";"     1.9";"     2.9";"     2.8";"     1.3";"     2.1";"     3.6"
"1473";"BU03639407";"Amsterdam                               ";"BU03639407";"     2.0";"    10.3";"     2.0";"     3.0";"     3.0";"     1.0";"     1.7";"     3.2"
"1474";"BU03639408";"Amsterdam                               ";"BU03639408";"     1.0";"     6.9";"     1.3";"     3.1";"     4.1";"     0.3";"     1.5";"     2.7"
"1475";"BU03639409";"Amsterdam                               ";"BU03639409";"     0.0";"     0.1";"     0.0";"     0.1";"     1.5";"     0.6";"     2.1";"     3.4"
"1476";"BU03639410";"Amsterdam                               ";"BU03639410";"     0.2";"     0.8";"     0.2";"     0.4";"     0.5";"     0.3";"     2.3";"     3.5"
"1477";"BU03639411";"Amsterdam                               ";"BU03639411";"     1.0";"     7.0";"     0.4";"     1.2";"     1.4";"     0.6";"     1.3";"     2.5"
"1478";"BU03639412";"Amsterdam                               ";"BU03639412";"     1.0";"     9.0";"     1.0";"     4.0";"     4.0";"     1.0";"     0.8";"     2.0"
