"ID";"DistrictsAndNeighbourhoods";"MunicipalityName";"Encoding";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes"
"1181";"BU03634501";"Amsterdam                               ";"BU03634501";"     9.8";"    43.5";"    16.2";"    33.4";"    89.1";"     0.4";"     0.7";"     2.2"
"1182";"WK036346  ";"Amsterdam                               ";"WK036346  ";"     8.0";"    40.9";"    11.0";"    26.3";"    80.7";"     0.3";"     0.4";"     2.1"
"1183";"BU03634600";"Amsterdam                               ";"BU03634600";"     4.9";"    30.1";"     5.7";"    18.3";"    59.6";"     0.3";"     0.3";"     2.3"
"1184";"BU03634601";"Amsterdam                               ";"BU03634601";"     9.6";"    48.2";"    12.4";"    30.6";"    88.3";"     0.2";"     0.4";"     2.0"
"1185";"BU03634602";"Amsterdam                               ";"BU03634602";"     8.1";"    38.4";"    13.4";"    26.5";"    87.5";"     0.5";"     0.6";"     2.2"
"1186";"BU03634603";"Amsterdam                               ";"BU03634603";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1187";"WK036347  ";"Amsterdam                               ";"WK036347  ";"     5.7";"    52.5";"    19.6";"    48.7";"   113.8";"     0.4";"     0.4";"     2.2"
"1188";"BU03634700";"Amsterdam                               ";"BU03634700";"     6.3";"    76.0";"    33.8";"    82.2";"   160.3";"     0.7";"     0.2";"     2.3"
"1189";"BU03634701";"Amsterdam                               ";"BU03634701";"     8.4";"    56.9";"    55.4";"    67.5";"   206.8";"     0.2";"     0.6";"     2.7"
"1190";"BU03634702";"Amsterdam                               ";"BU03634702";"     5.3";"    35.7";"     8.3";"    30.1";"    99.6";"     0.4";"     0.5";"     2.4"
"1191";"BU03634703";"Amsterdam                               ";"BU03634703";"     2.8";"    25.6";"     2.2";"    17.9";"    50.1";"     0.4";"     0.7";"     2.3"
"1192";"BU03634704";"Amsterdam                               ";"BU03634704";"     4.3";"    34.2";"     5.2";"    22.9";"    65.9";"     0.2";"     0.4";"     2.0"
"1193";"BU03634705";"Amsterdam                               ";"BU03634705";"     6.2";"    56.3";"    17.3";"    46.9";"   108.5";"     0.2";"     0.3";"     1.9"
