BUURTCODE_2022,BUURTNAAM_2022,WIJKNAAM_2022,STADSDEELNAAM,buurt_area_m2,distance_to_nearest_green_m_2020,distance_to_nearest_green_m_2024,distance_change_m,nearest_green_name_2020,nearest_green_type_2020,nearest_green_area_m2_2020,nearest_green_name_2024,nearest_green_type_2024,nearest_green_area_m2_2024,total_green_area_m2_2020,total_green_area_m2_2024,green_coverage_percent_2020,green_coverage_percent_2024,coverage_change_percent,num_green_spaces_2020,num_green_spaces_2024
NQ02,Noorderstrook-Oost,Waterland,Noord,479302.4,117.99,117.99,0.0,Unnamed,forest,6314.49,Unnamed,forest,6314.49,103021.58,104255.4,21.49,21.75,0.2600000000000015,47,47
NH01,Buikslotermeer-Noord,Buikslotermeer,Noord,471147.15,46.81,46.81,0.0,Unnamed,forest,677.83,Unnamed,forest,677.83,46035.31,61309.66,9.77,13.01,3.24,43,64
NH02,De Kleine Wereld,Buikslotermeer,Noord,237866.84,45.86,45.86,0.0,Unnamed,forest,634.87,Unnamed,forest,634.87,3788.95,771.01,1.59,0.32,-1.27,3,2
NH04,Buikslotermeerplein,Buikslotermeer,Noord,234397.74,107.49,197.87,90.38,Unnamed,forest,249.83,Berend Seinen Heemtuin,park,3554.93,19817.76,23689.53,8.45,10.11,1.66,6,7
NH05,Plan van Gool,Buikslotermeer,Noord,282589.44,32.17,31.95,-0.2200000000000024,Unnamed,forest,1306.99,Unnamed,forest,1175.71,71299.37,67570.42,25.23,23.91,-1.3200000000000005,40,42
MH02,Sportheldenbuurt,Zeeburgereiland/Bovendiep,Oost,421902.78,365.28,189.45,-175.82999999999998,Unnamed,forest,1319.13,Unnamed,forest,254.39,0.0,254.39,0.0,0.06,0.06,0,1
MH03,Oostpunt Zeeburgereiland,Zeeburgereiland/Bovendiep,Oost,542336.52,534.58,534.58,0.0,Unnamed,forest,143.82,Unnamed,forest,143.82,0.0,0.0,0.0,0.0,0.0,0,0
KK05,Veluwebuurt,Scheldebuurt,Zuid,130869.2,123.36,123.36,0.0,Unnamed,forest,2793.48,Unnamed,forest,2793.48,7076.85,6030.75,5.41,4.61,-0.7999999999999998,5,4
KK06,Kop Zuidas,Scheldebuurt,Zuid,169423.16,84.83,119.83,35.0,Unnamed,forest,1566.15,Unnamed,forest,291.07,11549.19,11076.2,6.82,6.54,-0.2800000000000002,12,11
KP02,RAI,Zuidas,Zuid,370566.98,161.44,75.07,-86.37,Unnamed,forest,1931.63,Unnamed,forest,91.26,21806.19,14178.89,5.88,3.83,-2.05,12,17
KP01,Zuidas-Noord,Zuidas,Zuid,826121.3,97.52,91.37,-6.149999999999992,Unnamed,forest,1840.61,Unnamed,forest,1014.19,162448.31,159051.42,19.66,19.25,-0.4100000000000001,34,56
KP05,Vivaldi,Zuidas,Zuid,289766.68,184.25,246.46,62.21000000000001,Unnamed,forest,9753.08,Unnamed,forest,338.71,4457.18,2331.59,1.54,0.8,-0.74,2,4
KP04,Zuidas-Zuid,Zuidas,Zuid,216757.71,238.73,144.67,-94.06,Unnamed,forest,1293.19,Unnamed,park,194.27,0.0,643.77,0.0,0.3,0.3,0,3
KP03,VU-kwartier,Zuidas,Zuid,463311.79,304.99,304.99,0.0,Unnamed,forest,402.97,Unnamed,forest,402.97,11275.06,5856.6,2.43,1.26,-1.1700000000000002,8,6
KQ03,Buitenveldert-West-Midden,Buitenveldert-West,Zuid,270237.91,100.5,100.5,0.0,Unnamed,forest,679.99,Unnamed,forest,679.99,30088.59,30694.9,11.13,11.36,0.2299999999999986,15,16
MM01,Van der Kunbuurt,Frankendael,Oost,90549.96,125.28,125.28,0.0,Unnamed,forest,1211.55,Unnamed,forest,1211.55,2258.14,2258.14,2.49,2.49,0.0,2,2
MQ05,Amstelkwartier-Noord,Omval/Overamstel,Oost,368218.33,205.83,65.37,-140.46,Park Somerlust,park,7767.99,Bella Vistapark,park,22414.39,8330.53,31453.27,2.26,8.54,6.279999999999999,2,4
MQ06,Amstelkwartier-Zuid,Omval/Overamstel,Oost,243441.47,260.86,328.11,67.25,Unnamed,forest,142.43,Unnamed,forest,2604.83,2946.29,2604.83,1.21,1.07,-0.1399999999999999,1,1
MQ04,Amstelkwartier-West,Omval/Overamstel,Oost,255502.2,195.55,196.18,0.6299999999999955,Unnamed,forest,5550.57,Unnamed,forest,5626.08,38322.31,36654.34,15.0,14.35,-0.6500000000000004,8,12
