outcome,did_coef_treated_post,se,pvalue,nobs
pct_top20,0.6316926244564263,0.5172173826698634,0.22196145141759316,878
pct_bottom40,-0.6330278274988469,0.6556580751405645,0.33430210522610415,878
n_high_education,-17.620813504147257,20.1002967257455,0.38067978957393867,878
woz_value,-8.406642083902758,9.832983682325722,0.39258261866992983,878
pct_owner_occupied,0.8336487573089346,0.9772368121947477,0.3936219905112547,878
pct_low_income,-0.29562671699234266,0.42145415104481676,0.48302562837148777,878
pop_age_25_45,-2.55177839373928,19.630278494976455,0.8965727870294007,878
